EVTDESC60140;\n\nWith_the_liberals_firmly_in_control_of_our_country,_they_feel_that_now_is_the_time_for_a_constitutional_convention._Everyone's_views,_well_at_least_everyone_who_truly_matters,_will_be_represented_in_this_new_gathering_to_shape_the_path_of_our_nation.;Alors_que_les_libéraux_tiennent_les_rênes_de_notre_pays,_ils_estiment_le_moment_venu_pour_une_convention_constitutionnelle._Les_vues_de_chacun,_du_moins_de_tous_ceux_qui_importent_vraiment,_seront_représentées_dans_cette_nouvelle_assemblée_afin_de_forger_la_voie_de_nos_nations.;Die_Liberalen_haben_unser_Land_fest_im_Griff,_und_sie_glauben,_dass_es_jetzt_an_der_Zeit_für_eine_konstitutionelle_Verfassung_ist._In_dieser_neuen_Verfassung,_die_den_zukünftigen_Weg_unserer_Nation_eben_wird,_werden_die_Meinungen_aller_repräsentiert_sein,_zumindest_jener,_auf_deren_Meinung_es_wirklich_ankommt.;;Los_liberales,_con_un_firme_control_sobre_el_país,_creen_que_ha_llegado_el_momento_de_organizar_una_convención_constitucional._Todo_el_mundo_(al_menos_todo_el_mundo_que_cuenta)_estará_representado_en_esta_gran_asamblea_que_dará_forma_al_futuro_de_nuestro_país.;;;;;;;;x__;
EVTOPTA60140;Otherwise people would exploit the situation;Sinon, les gens exploiteraient la situation.;Ansonsten würde das Volk die Situation ausnutzen.;;De lo contrario, alguien podría tratar de aprovecharse de la situación.;;;;;;;;x  ;
BUDGET_STOCKPILE_YESTERDAYS;Yesterdays purchases for stockpile:;Achats d'hier pour les réserves :;Gestrige Vorratskäufe: ;;Adquisiciones de ayer para la reserva nacional:;;;;;;;;x;
MOR_1683;Taza;Taza;Taza;;Taza;;;;;;;;x;
LAG_PAUSE;$PLAYER$ is lagging behind, pausing game.;$PLAYER$ est à la traîne, partie en pause.;$PLAYER$ hat Verbindungsprob., Spiel wird pausiert.;;$PLAYER$ está sufriendo lag, juego en pausa;;;;;;;;x;
LAG_DECREASE_SPEED;$PLAYER$ is lagging behind, decreasing speed.;$PLAYER$ est à la traîne, ralentissement.;$PLAYER$ hat Verbindungsprobl., Spielgeschw. wird reduziert.;;$PLAYER$ está sufriendo lag, velocidad reducida;;;;;;;;x;
PAUSED_BY;§Y$PLAYER$§W paused the game.;§Y$PLAYER$§W a mis la partie en pause.;§Y$PLAYER$§W pausiert das Spiel.;;§Y$PLAYER$§W ha puesto el juego en pausa.;;;;;;;;x;
WARGOAL_OTHER_ACCEPT_SETUP;When a nation adds a wargoal in a war.;Si une nation ajoute un objectif de guerre.;Wenn eine Nation in einem Krieg ein Kriegsziel hinzufügt.;;Cuando un país añade un objetivo bélico en una guerra;;;;;;;;x;
WARGOAL_THEY_ACCEPT_SETUP;When we add a wargoal against another nation.;Si nous ajoutons un objectif de guerre contre une autre nation.;Wenn wir ein Kriegsziel gegen eine andere Nation hinzufügen.;;Cuando añadimos un objetivo bélico contra otro país;;;;;;;;x;
WARGOAL_WE_ACCEPT_SETUP;When a nation adds a wargoal against us..;Si une nation ajoute un objectif de guerre contre nous.;Wenn eine Nation ein Kriegsziel gegen uns hinzufügt.;;Cuando otro país añade un objetivo bélico contra nosotros;;;;;;;;x;
status_quo_setup;All we ask is to be left alone;Nous demandons juste à ce qu'on nous laisse tranquilles.;Wir wollen nur in Ruhe gelassen werden.;;Lo único que pedimos es que nos dejen en paz;;;;;;;;x;
PROV3041;Argentine Rise;Soulèvement de l'Argentine;Argentinisches Seegebirge;;Falla de Argentina;;;;;;;;;x
TUR_819;West Macedonia;Macédoine de l'Ouest;Westmazedonien;;Macedonia Occidental;;;;;;;;;x
TUR_806;North Macedonia;Macédoine du Nord;Nordmazedonien;;Macedonia Septentrional;;;;;;;;;x
GUNBOAT_OTHER_ACCEPT_LOG;$ACTOR$ is using gunboats to force $RECIPIENT$ to pay their debt!;$ACTOR$ utilise des canonnières pour obliger $RECIPIENT$ à rembourser sa dette !;$ACTOR$ setzt Kanonenbootpolitik ein, um $RECIPIENT$ zur Rückzahlung der Schulden zu zwingen!;;¡$ACTOR$ está usando sus cañoneras para obligar a $RECIPIENT$ a pagar sus deudas!;;;;;;;;;x
GUNBOAT_THEY_ACCEPT_LOG;We are using gunboats to force $RECIPIENT$ to pay their debt!;Nous utilisons des canonnières pour obliger $RECIPIENT$ à rembourser sa dette !;Wir setzen Kanonenbootpolitik ein, um $RECIPIENT$ zur Rückzahlung der Schulden zu zwingen!;;¡Estamos usando nuestras cañoneras para obligar a $RECIPIENT$ a pagar sus deudas!;;;;;;;;;x
GUNBOAT_WE_ACCEPT_LOG;$ACTOR$ is using gunboats to force us to pay back our debt!;$ACTOR$ utilise des canonnières pour nous obliger à rembourser notre dette !;$ACTOR$ setzt Kanonenbootpolitik ein, um uns zur Rückzahlung unserer Schulden zu zwingen!;;¡$ACTOR$ está usando sus cañoneras para obligarnos a pagar nuestras deudas!;;;;;;;;;x
