Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;
sp_rgs_railway_desc;Engineer João Teixeira Soares has made projects for a railroad linking the Province of São Paulo to the Province of Rio Grande do Sul. The railroad would be 1.403km long and run via the interior of São Paulo towards Rio Grande do Sul alongside the provinces of Santa Catharina and Paraná. The railroad, if constructed, would connect the city of Rio de Janeiro with Argentina and Uruguay, allowing for better communication and transportation of goods from Rio to the rest of the Platine Basin.;;;;;;;;;
contestado_war_title;The Contestado War;;;;;;;;;
contestado_war_desc;Jagunços in the contested area between Paraná and Santa Catharina have revolted under the Celestial Monarchy;;;;;;;;;
theatro_amazonas_title;Build the Theatro Amazonas;;;;;;;;;
theatro_amazonas_desc;The Theatro Amazonas (Amazon Theater) was an extremely prestigious theater built in Manaus during its Golden age of Rubber. Taking 12 years to build, the theater awarded the growing Amazonian capital with the title "Paris of the Tropics.";;;;;;;;;
build_brasilia_title;Build a new Capital;;;;;;;;;
1834_additional_act_title;The 1834 Additional Act;;;;;;;;;
1834_additional_act_desc;Law n° 16, also known as the "Additional act," reformed the Imperial Constitution of 1824. After Pedro's abdication, the Brazilian Chamber of Deputies rapidly filed itself with "Liberais" three years after the then Emperor's abdication: Increase the autonomy of provinces and abolish the "Regencia Trina" in favor of a more unitary Regencia Unica.;;;;;;;;;
abolish_ayan_title;Abolish the Ayan System;;;;;;;;;
abolish_ayan_desc;The Ottoman Ayans, though helping with keeping local governors in check - continue to frustrate the central leadership of the Ottoman Empire by undermining the power of Constantinople and resisting the authority of the Sultan. We need to do whatever we can to reduce the strength of these local lords. §RCauses revolt in Bosnia if taken before 1836§W;;;;;;;;;
abolish_scutari_pashalik_title;End Albania's Autonomy;;;;;;;;;
abolish_scutari_pashalik_desc;The Pashalik of Scutari, a semi-independent state under Ottoman suzerainty ruled by the Bushati family, was first formed in 1757. Since then, it has often been a thorn in our side, refusing to obey the Sultan's orders when we were hard-pressed to enforce them and cooperating when it was convenient. The other two Albanian Pashaliks of Janina and Berat were abolished in 1822 and 1809 respectively, ending their autonomy and bringing them into the fold. Perhaps it is time to make the current pasha, Mustafa Bushati, the last and put an end to this nuisance.;;;;;;;;;
pedro_i;Emperor Dom Pedro I;;;;;;;;;
pedro_i_desc;Pedro I finds himself at odds with the Brazilian people. Many believe he cares more about Portugal than Brazil due to his involvement in the current Portuguese Civil War. His many controversies have caused relentless unrest in the lands of Brazil. Perhaps his only option is to abdicate and sail through the shores of Rio and never return.;;;;;;;;;
ayan_system;Ayan System;;;;;;;;;
ayan_system_desc;The Ottoman Ayan is the class of local nobles who enjoy a significant amount of autonomy.;;;;;;;;;
no_more_janissaries;The End of the Janissaries;;;;;;;;;
no_more_janissaries_desc;With the recent elimination of the janissary forces, our army is in disarray. We have almost no professional forces and few remaining commanders. While our armed forces will recover in time, for now they are significantly weakened.;;;;;;;;;
build_brasilia_desc;Since the governance of Marquês do Pombal in Portugal, there have been talks about a new Brazilian capital. The Father of Brazilian Independence: José Bonifacio was the first to refer to this city as "Brasilia." Such a name comes from the formal demonym for those born in Brazil: "Brasiliense." The Portuguese term "Brasileiro" only defined those who traded or trafficked Brazil-Wood in the 1500s.;;;;;;;;;
reform_BRZ_title;Reform Brazil;;;;;;;;;
reform_BRZ_desc;Now that we have united our region, the time has come to reform Brazil!;;;;;;;;;
reform_SWE_title;Reform Sweden;;;;;;;;;
reform_SWE_desc;Now that we have united our region, the time has come to reform Sweden!;;;;;;;;;
reform_RUS_title;Reform Russia;;;;;;;;;
reform_RUS_desc;Now that we have united our region, the time has come to reform Russia!;;;;;;;;;
reform_SPA_title;Reform Spain;;;;;;;;;
reform_SPA_desc;Now that we have united our region, the time has come to reform Spain!;;;;;;;;;
claim_madeira_title;Claim Tefe;;;;;;;;;
claim_madeira_desc;§RGain 1 infamy§! In 1864 the Peruvian government signed a treaty with the Empire of Brazil, giving up its claims over everything west of the Madeira river. We must revoke this treaty and reclaim these lands.;;;;;;;;;
treaty_of_1851_URU_title;The Brazil-Uruguay Border treaty of $YEAR$;;;;;;;;;
treaty_of_1851_URU_desc;Since the "Convênio Preliminar de Paz" in 1838, when the United Kingdom forcefully dismembered the province of Cisplatina from the Brazilian nation, there hasn't been a consensus on where the Brazil-Uruguay border should start and end. Some claim the region between the Quaraí and Arapeí rivers as Brazilian and part of the Riograndense province, hearkening back to the convention of 1819. Others in Uruguay reclaim the old border of the Banda Oriental, pushing Uruguay's boundary to the Ibicuí river. And there are those within the infant oriental republic who claim the entirety of the old Misiones territory. And, of course, who could forget the region of "Campos Neutrais," East of the Mirim Lake. As a showcase of Friendship, we shall send a proposal to the Oriental Republic of Uruguay to sort out our differences and settle the inconclusive boundary between the two countries.;;;;;;;;;
tratado_lleras_lisboa_title;The Lleras-Lisboa Treaty;;;;;;;;;
tratado_lleras_lisboa_desc;Portugal and Spain failed to define a proper border in the Amazon, and we've inherited these century-old boundary disputes. So many countries claim the harsh soils of the Green Hell, and many haven't recognized our superiority and relinquished their petty boundary claims. One such territory dispute lies around the Japurá river, known in Hispanic nations as the "Yapurá" or "Caqueta" (specifically inside the old territory of Nueva Granada.) As many as four different countries claim these lands, including us. We reached a compromise with two of these nations in the last decade. However, one of them refuses to cooperate with our government. We might convince them to recognise our ownership of the Japurá by sending the Baron of Japurá, Miguel Maria Lisboa, and negotiate a compromise. If they still refuse to cooperate, there shall be consequences they might not enjoy.;;;;;;;;;
green_hell_start;The Green Hell;;;;;;;;;
green_hell_mid;The Green Hell;;;;;;;;;
green_hell_late;The Green Hell;;;;;;;;;
green_hell_expand_desc;We have recently expanded our borders in the Amazon. They shall receive the administrative integration necessary to, in the future, be incorporated into Brazil proper. Military colonies are currently being set up in the newly acquired land to maintain Brazilian control and pacify the feral Indians that still spread across the vast Rainforest. Before long, these lands shall be annexed to the nearby administrations of Matto Grosso, Grão-Pará, and Amazonas.;;;;;;;;;
rio_de_oro_buy_desc;After losing Cuba and the Philippines, Spain has been in dire need of cash. They have therefore inquired as to whether we would buy the Rio do Oro colony from them for 150.000 Talers.;;;;;;;;;
austria_decline_oro_desc;The Austrians have refused to buy the Rio de Oro region, saying that it is a desolate, useless patch of desert.;;;;;;;;;
austria_want_sahara_desc;The Austrians have declined to buy the Rio de Oro region, instead offering to buy all of West Sahara at the same price.;;;;;;;;;
austria_agree_oro_desc;The Austrians have decided to purchase Rio de Oro.;;;;;;;;;
spanish_refuse_oro_desc;After we asked to buy all of West Sahara from Spain, they promptly declined.;;;;;;;;;
spanish_agree_oro_desc;After we asked to buy all of West Sahara from Spain, they accepted the idea.;;;;;;;;;
integrate_amazon_title;Integrate the Amazon;;;;;;;;;
integrate_amazon_desc;After hundreds of years of colonization, our brave and just people have finally tamed the Amazon. No more do the tropical diseases, unruly Indians, and tropical floods pose a threat to settlement and exploitation of her resources. We have turned the barren and hostile Green Hell into a commercially booming Tropical paradise.;;;;;;;;;
integrate_amz_core_extra_desc;\n\nAfter expanding our territory in the Amazon, the local governments of Matto Grosso, Amazonas, and Grão-Pará have petitioned to annex the newly acquired territories. Doing so will make the administration and colonization of these lands easier for Brazil's government.;;;;;;;;;
core_fuerte_olimpo_title;Claim the Fuerte Olimpo;;;;;;;;;
core_fuerte_olimpo_desc;§RGain 0.5 infamy§! Fuerte Olimpo is a fort on the Paraguayan river founded by the Spaniards in 1792 (then known as Fuerte Borbón). The Spanish designed it to keep Brazilian Bandeirantes and explorers out, protecting the Virreinato de Río del La Plata from further Brazilian excursions. Nowadays, the fort exists as a Brazilian free port controlled by the government of Paraguay.\n\nHowever, Paraguay's government is volatile at best. Their protectionist and isolationist policies make it difficult to protect Brazilian interests in the country, especially in the still unruly Gran Chaco. It might be best to assume direct control over the port, protecting Brazilian commerce in the region at all costs and expanding our influence in the Chaco.;;;;;;;;;
core_prg_chaco_brz_title;Advance into Bahía Negra;;;;;;;;;
core_prg_chaco_brz_desc;§RGain 4.5 infamy§! While we have assumed direct control over Forte Olímpo, other nations were faster at colonizing the Chaco, which is unacceptable. We shall make known to these nations and the entire world that the lands of the Chaco are Brazilian.;;;;;;;;;
core_chaco_all_title;Claim the Chaco Austral;;;;;;;;;
core_chaco_all_desc;§RGain 5 infamy§! We're one step away from controlling the entirety of the Chaco region. Unfortunately, the Argentinian scum has gotten to Chaco Austral before we have. The Brazilian nation will not accept such arrogance from the government in Buenos Aires, and the entirety of the Chaco shall soon be ours.;;;;;;;;;
create_prn_title;The political emancipation of Paraná;;;;;;;;;
create_prn_desc;The autonomy of the Comarca de Curityba e Paranaguá, currently part of the province of São Paulo, has been brought up many times since its annexation into the Capitania de São Vincente. Politicians from the cities of Curityba and Paranaguá have questioned the central government since 1811, demanding autonomy from the government in São Paulo. \n\nRecently, the province of São Paulo, discontent with the conservative bias in the government, launched an armed revolt alongside the province of Minas Geraes against the government in Rio de Janeiro, causing some deputies to demand the emancipation of Curityba and Paranaguá as punishment for the 1840s Liberal revolts. Doing so, however, would make political leaders from São Paulo and Santa Catharina (the latter of which the Comarca has disputed lands with) quite angry at us.;;;;;;;;;
fra_border_suriname_title;The French-Surinam Dispute;;;;;;;;;
fra_border_suriname_desc;The boundary between the two colonies was mainly ignored throughout the 17th and 18th centuries. The Dutch had loose claims to the regions west of the Sinnamary river until the Maroni river was decided as the boundary between the two colonies. \n\nRecently, colonists in the New World Settlement of Guyane have begun questioning what tributary of the Maroni should constitute the border between it and Surinam. The question is whether the Tapanahony or Lawa rivers should be considered Maroni's headwater and, therefore, serve as the border between our two colonies. We should contact the Dutch government to form a mixed French-Dutch commission to settle this dispute peacefully.;;;;;;;;;
fra_dispute_suriname_title;Dispute the lands of Tapanahony;;;;;;;;;
fra_dispute_suriname_desc;A gold rush has struck the lands West of the Tapanahony tributary in Surinam. With it, the government in Cayanne has contacted us, urging the French Government to lay claim on the Tapanahony once again, recognizing it as the righteous border between Surinam and Guyane. Doing so would upset the Netherlands and go against the previously agreed boundary between our colonies, the Lawa tributary, decided with a mixed French-Dutch commission not long ago.;;;;;;;;;
1830_research_bad;1830 Research balancing;;;;;;;;;
rgs_coal_title;Incentivize coal mining near the Jacuí river;;;;;;;;
rgs_coal_desc;§R(Pay or owe 300,000¤)§! \n Influential industrialists in our government believe our national industry has become too reliant on imported coal. Therefore, we have employed geologists on a mission to discover coal deposits in our nation. They've since returned with a map detailing possible coal deposits in the region close to the Jacuí River. However, currently, the region lacks the infrastructure and funding to start mining operations. Should the government provide the money and infrastructure necessary, it would aid our industry in becoming independent of imported coal, along with improving the local economy.;;;;;;;;
PPG_communist;Communists;;;;;;;;
PPG_fascist;Fascists;;;;;;;;
madagascar_purchase_title;Purchase the Island of Madagascar;;;;;;;
madagascar_purchase_desc;Purchase the Island of Madagascar;;;;;;;
VTNAME1500000;The Madagascar Purchase;;;;;;;;;;;;;
EVTDESC1500000;\n\nThe_Ministry_of_Foreign_Affairs_was_recently_approached_by_the_government_of_Boer_South_Africa_with_an_interesting_proposal._The_Boers,_citing_our_cordial_relations_and_the_precedent_of_the_Louisiana_Purchase,_propose_that_we_transfer_the_protectorate_over_Madagascar_to_them,_in_exchange_for_a_large_sum_of_money._The_ministry_of_Foreign_Affairs_is_divided_over_the_question._Some_argue_that_the_protectorate_is_a_money_sink,_and_that_good_relations_with_the_ascendant_Boer_regional_hegemon_are_worth_losing_Madagascar's_strategic_position_over._Others_argue_that_we_should_not_part_with_an_inch_of_rightful_French_territory,_pointing_out_that_Louisiana_turned_into_a_great_economic_boon_for_the_Americans_with_the_right_investment._A_decision_must_now_be_made:_what_do_we_tell_the_Boers?;;;;;;;;;;;;;
EVT1500000OPTA;Sell it, it's a waste of money anyways.;;;;;;;;;;;;;
EVT1500000OPTB;French blood was spilled to gain Madagascar. We will not part with it.;;;;;;;;;;;;;
EVTNAME1500001;The French Accept!;;;;;;;;;;;;;
EVTDESC1500001;\n\nMadagascar_is_ours!_The_French_Ministry_of_Foreign_Affairs_has_informed_us_of_their_government's_acceptance_of_our_offer,_and_the_protectorate_will_be_officially_transferred_to_us._This_is_a_great_day_for_our_nation!_The_Voortrekker_spirit_marches_on!;;;;;;;;;;;;;
EVT1500001OPTA;Honey! Get my covered wagon!;;;;;;;;;;;;;
EVTNAME1500002;The French Refuse!;;;;;;;;;;;;;
EVTDESC1500002;\n\nUnfortunate_news_has_come_from_the_Foreign_Ministry_today:_the_French_have_refused_our_offer_to_purchase_Madagascar._This_setback_has_endangered_the_prospects_of_ever_establishing_our_own_overseas_colony,_and_already_some_warhawks_are_calling_for..._alternative_methods_of_acquisition.;;;;;;;;;;;;;
EVT1500002OPTA;We are a culturally European nation, and we will have colonies of our own, one way or another.;;;;;;;;;;;;;
ryukyu_slot_1;§bThe islands of§p;;;;;;;;;;;;;
ryukyu_slot_2;have been brought under the control of the§g;;;;;;;;;;;;;
ryukyu_slot_3;We've already dispatched bureaucrats to§p;;;;;;;;;;;;;
ryukyu_slot_4;to further integrate its land;;;;;;;;;;;;;
ryukyu_slot_5;and the world will be informed of our legitimate claim to§p;;;;;;;;;;;;;
ryukyu_end;and its surrounding islands;;;;;;;;;;;;;
ryukyu_dynamic_test;gains cores on;;;;;;;;;;;;;
native_option_text;Review possible treaty options...;;;;;;;;;;;;;
chilean;Chilean;;;;;;;;;;;;;
tawantinsuyu_reborn_title;Tawantinsuyu Reborn;;;;;;;;;;;;;
tawantinsuyu_reborn_desc;Text will be added soon, sorry!;;;;;;;;;;;;;
tawantinsuyu_empire;Tawantinsuyu Reborn;;;;;;;;;;;;;
UK_reclaim_ireland_title;Reclaim Ireland;;;;;;;;;;;
UK_reclaim_ireland_desc;Ever since the Union of the Crowns, we Britons have been aware that it is our divine commandment to bring peace, order, and justice to these islands. Even with Ireland unjustly separated from our nation, and the humiliation this false division brought to us, we didn't forget our duty towards the Irish. Now that we have recovered our strength, let us restore the Union of 1800, for it is the destiny of Great Britain and Ireland to be united forevermore.;;;;;;;;;;;;;
