Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTDESC44132237;We_have_discovered_a_conspiracy_to_organize_a_slave_revolt_in_the_South._After_intense_interrogation,_those_involved_in_the_conspiracy_admitted_that_the_Free_States_of_America_is_behind_the_funding_of_the_plot._While_we_have_stopped_the_revolt_from_occurring,_tensions_are_at_an_all-time_high_across_the_country.;;;;;;;;;;;;;
EVTDESC44132238;$FROMCOUNTRY$_has_discovered_our_plot_to_organize_a_slave_revolt_in_its_country._They_may_go_to_war_with_us_over_this,_and_the_entire_situation_is_proving_to_be_quite_the_diplomatic_disaster.;;;;;;;;;;;;;
EVTDESC4413229;A_small_slave_revolt_has_erupted_in_a_province_in_the_southern_states._Although_it_is_unlikely_to_spread,_we_should_act_quickly_to_put_down_the_uprising_before_it_does_too_much_damage_to_our_economy._Furthermore,_the_Free_States_of_America_has_officially_recognized_the_burgeoning_government_formed_by_the_rebellious_slaves,_and_there_exists_the_possibility_that_they_might_intervene.;;;;;;;;;;;;;
EVTDESC44132210;Our_planning_and_funding_have_proven_to_be_fruitful_as_a_small_slave_revolt_has_erupted_in_$FROMCOUNTRY$._We_should_act_quickly_to_intervene_on_behalf_of_New_Africa_in_their_fight_for_independence.;;;;;;;;;;;;;
EVTDESC44132211;A_small_slave_revolt_has_erupted_in_a_province_in_the_southern_states._The_insurgency_is_likely_to_spread_to_nearby_plantations_in_neighboring_provinces,_and_we_should_act_quickly_to_put_down_the_uprising_before_it_does_too_much_damage_to_our_economy._Furthermore,_the_Free_States_of_America_has_officially_recognized_the_burgeoning_government_formed_by_the_rebellious_slaves,_and_there_exists_the_possibility_that_they_might_intervene.;;;;;;;;;;;;;
EVTDESC44132212;Our_planning_and_funding_have_proven_to_be_fruitful_as_a_massive_slave_revolt_has_erupted_in_$FROMCOUNTRY$._We_should_act_quickly_to_intervene_on_behalf_of_New_Africa_in_their_fight_for_independence.;;;;;;;;;;;;;
EVTDESC44132213;The_slave_revolt_is_quickly_spreading_from_plantation_to_plantation._Soon,_nearby_provinces_will_join_us_in_our_fight_for_independence.;;;;;;;;;;;;;
EVTDESC44132214;The_recent_slave_revolt_has_spread_to_$PROVINCENAME$._There_are_reports_of_roaming_bands_of_slaves_setting_plantations_aflame_and_massacring_entire_communities.;;;;;;;;;;;;;
EVTDESC44132215;We_have_received_our_supplies_from_the_Free_States_of_America._We_will_immediately_begin_distributing_weapons_and_mobilizing_our_forces_into_a_proper_fighting_force.;;;;;;;;;;;;;
EVTDESC44132216;We_have_received_our_supplies_from_the_Free_States_of_America._We_will_immediately_begin_distributing_weapons_and_mobilizing_our_forces_into_a_proper_fighting_force.;;;;;;;;;;;;;
EVTDESC44132217;We_have_received_our_supplies_from_the_Free_States_of_America._We_will_immediately_begin_distributing_weapons_and_mobilizing_our_forces_into_a_proper_fighting_force.;;;;;;;;;;;;;
NAF_revolt_flag;Slave Revolts;;;;;;;;;;;;;
NAF_uprising;New Africa Uprising;;;;;;;;;;;;;
NAF_uprising_desc;In order for New Africa to survive, everyone must be armed and ready to give their life in the name of freedom.;;;;;;;;;;;;;
NAF_capital_title;The Capital of New Africa;;;;;;;;;;;;;
NAF_capital_desc;Now that our borders are firmly established, we should decide which city should host the New African capital.;;;;;;;;;;;;;
EVTDESC44132218;Several_candidate_cities_would_serve_as_suitable_locations_for_the_new_capital_of_New_Africa._Located_in_the_along_the_Louisiana_coast,_New_Orleans_has_long_been_the_cultural_capital_of_the_country._Montgomery's_central_location_would_make_it_an_appropriate_city_for_the_capital_to_be_seated,_and_its_small_size_allows_for_some_room_to_develop._Lastly,_Atlanta_is_one_of_the_largest_cities_in_New_Africa_and_is_the_economic_heart_of_the_country.;;;;;;;;;;;;;
EVTDESC44132219;In_1831,_Nat_Turner_led_a_slave_rebellion_in_Virginia_that_was_composed_of_more_than_70_slaves_and_resulted_in_the_death_of_60_white_people,_including_women_and_children._After_Nat_Turner_was_captured_and_the_rebellion_ended,_over_a_hundred_slaves_were_massacred_in_retaliation._For_many_in_New_Africa,_Nat_Turner_represents_the_heroism_and_determination_needed_to_fight_such_a_brutal_system_like_slavery._However,_whites_in_the_country_perceive_Nat_Turner_as_a_violent_murderer._With_the_100th_Anniversary_of_the_rebellion_closely_approaching,_there_is_mounting_pressure_on_the_government_on_how_to_remember_such_a_cataclysmic_event_and_such_a_complicated_man.;;;;;;;;;;;;;
EVTDESC44132220;New_Africa_is_currently_experiencing_a_cultural_renaissance_emanating_out_of_$CAPITAL$._Across_the_country,_new_works_of_literature_are_being_published,_new_music_genres_are_being_defined,_and_new_plays_for_the_theater_are_being_written._Innovations_are_also_occurring_in_the_philosophical_and_academic_fields_leading_to_an_explosion_in_fresh_perspectives_and_new_knowledge._Artists_and_intellectuals_from_across_the_world_have_taken_notice_of_this_reawakening_of_the_New_Africa_spirit.;;;;;;;;;;;;;
