schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
EVTDESC127851_NEWS_LONG;A spontaneous protest by young Polish officers from the military academy of the Army of Congress Poland has quickly erupted into a widespread insurrection across $COUNTRY$, supported by high-ranking Polish and Lithuanian officers and politicians. The eyes of all of Europe are upon $COUNTRY$, and if they deal with the insurgents too harshly it may hurt their relations with other European powers. If they do not, however, the uprising will surely spread even further.;;;;;;;;;;;;;
EVTDESC127851_NEWS_MEDIUM;A spontaneous protest by young Polish officers from the military academy of the Army of Congress Poland has quickly erupted into a widespread insurrection across $COUNTRY$, supported by high-ranking Polish and Lithuanian officers and politicians.;;;;;;;;;;;;;
EVTDESC127851_NEWS_SHORT;A spontaneous protest by young Polish officers from the military academy of the Army of Congress Poland has quickly erupted into a widespread insurrection across $COUNTRY$.;;;;;;;;;;;;;
EVTNAME127852;The Polish Uprising of $YEAR$;;;;;;;;;;;;;
EVTOPT127852A;To arms!.;;;;;;;;;;;;;
EVTOPT127852C;Let them be free.;;;;;;;;;;;;;
EVTOPT127852D;Onwards to Poland!;;;;;;;;;;;;;
EVTNAME127853;The Rebellion is Crushed;;;;;;;;;;;;;
EVTOPT127853A;There will be harsh reprisals.;;;;;;;;;;;;;
EVTOPT127853B;Be lenient with them.;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_RUS_PLR;The January Uprising;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_RUS_PLR;The January Uprising;;;;;;;;;;;;;
male_core_desc;\n\nWe have conquered even more lands from those heretic Brazilians!;;;;;;;;;;;;;
males_expand_title;Jihad against Brazil;;;;;;;;;;;;;
males_expand_desc;These heretic Brazilians should pay for what they made our people go through! We should expand all the way up to São Francisco!;;;;;;;;;;;;;
brest_litovsk_fort_title;Build the Brest-Litovsk Fortress;;;;;;;;;;;;;
brest_litovsk_fort_desc;It is time for our government to commission a fortress in the key strategic city of Brest-Litovsk, covering an intersection of the Bug and Mukhavets rivers. It is to be constructed in a star shape, with barracks lining its banks on three sides and a citadel on an island in the center. The fort will accommodate 12,000 soldiers in total.;;;;;;;;;;;;;
osterreichische_lloyd_title;Österreichischer Lloyd;;;;;;;;;;;;;
osterreichische_lloyd_desc;Several sea transport insurance companies, banking houses and numerous individual shareholders, among them the Austrian politician Karl Ludwig von Bruck, have come together to form a shipping company. Based in Trieste, it would begin constructing new steamers to transports passengers and goods and bring news from overseas. With this much backing, the company would be sure to become the prime shipping company in the Austrian Empire.;;;;;;;;;;;;;
antoine_clot_title;Establish a School of Medicine for Women;;;;;;;;;;;;;
antoine_clot_desc;A French doctor named Antoine Clot has held an esteemed medical practice in Egypt for 5 years as Surgeon-in-Chief of the Armies. Before he arrived from France, our country did not yet have a medical care system: since then he has worked as director of the first medical school in Egypt, Kasr al-Aini Medical School, and even has been made chief surgeon for Muhammad Ali Pasha. Clot is a force of Egypt's modernization. With this modernization comes a need to bring women into the fold. We should grant Clot's request to open a women's medical school.;;;;;;;;;;;;;
bavarian_ludwig_railway_title;The Bavarian Ludwig Railway;;;;;;;;;;;;;
bavarian_ludwig_railway_desc;Railways are the future of transportation. With their recent invention in Britain promising speedy commutes between cities, it is not hard to imagine that Germany would benefit greatly from building their own. The Royal Privileged Ludwig Railway Company may obtain a charter for building a railway in Bavaria right now--also the first in all of Germany.;;;;;;;;;;;;;
france_bullies_algeria_title;The Conquest of Algiers;;;;;;;;;;;;;
france_bullies_algeria_desc;Tension between France and the Deylik of Algiers, an autonomous part of the Ottoman Empire, has escalated due to Algerian pirates raiding European ships. With these Barbary Pirates being a major thorn in our backside, it's about time we show them their place and conquer Algiers for ourselves. We even have the perfect casus belli: a provocation by Hussein Bey, who struck the French consul, Pierre Deval, with a fan during a heated argument over both countries' trade debts to each other.;;;;;;;;;;;;;
start_the_chaos_srn_title;Expand our Principality;;;;;;;;;;;;;
start_the_chaos_srn_desc;We were established in 1399 and subjugated by the Turks in 1554. We have stayed their peaceable vassal for several centuries, but Mir Mohammed has other plans - the expansion of our army and land. A good first step should be taking on the emirate to our north, Bahdinan.;;;;;;;;;;;;;
conquer_kirkuk_title;Conquer Kirkük;;;;;;;;;;;;;
conquer_kirkuk_desc;The Baban Emirate has always sought to weaken our state and once occupied half of our lands. Their emir is greedy and is allied with the Yazidis, to whom he grants amnesties and asylum. The people of Kirkük are constantly oppressed by Baban, and factions of the local militias have signaled that they'd join our offensive. It might be time to fix the greatest error the Soran Emirate has ever done - letting Baban exist.;;;;;;;;;;;;;
ally_bohtan_singal_title;Ally Bohtan and take Tasini;;;;;;;;;;;;;
ally_bohtan_singal_desc;The Bohtan are a powerful emirate that rules the city of Cizre and its surroundings, including Zaco. Their ruler, Bedir Khan Beg, also wants to liberate Kurdistan from Ottoman hands and has a similar approach. The lands of Singal are full of Yazidis that raid both their and our lands, and together we will be able to stop them.;;;;;;;;;;;;;
kill_bohtan_title;Occupy Bohtan;;;;;;;;;;;;;
kill_bohtan_desc;The Bohtan Emirate is no more than a roadblock in our successful campaigns, and their Emir is constantly collaborating with the enemy. To realize our ultimate goal - we must end Bohtan's autonomy once and for all.;;;;;;;;;;;;;
ottos_cry_to_themselves_title;Sign Ceasefire With Soran;;;;;;;;;;;;;
ottos_cry_to_themselves_desc;The war in Soran is not going our way. With the numerous wars happening around the region, we would benefit from a short, 20-month ceasefire to reorganize and prepare for war.;;;;;;;;;;;;;
hakkari_was_based_before_eighteenfourty_title;Attack Hakkari;;;;;;;;;;;;;
hakkari_was_based_before_eighteenfourty_desc;Hakkari is a powerful Kurdish emirate with a large Assyrian minority that is centered on the Hakkari mountains. The mountains of Hakkari were once part of our emirate, but the Ottoman Empire forced us to give up lands in the region after our defeat three hundred years ago. Now it is time to undo this injustice and conquer Hakkari.;;;;;;;;;;;;;
make_vassals_kurds_title;Reshid Mehmed Pasha's Campaign in Northern Kurdistan;;;;;;;;;;;;;
make_vassals_kurds_desc;With the defeats in Lower Kurdistan, Reshid Mehmed Pasha has suggested that we launch an expedition to vassalize the Kurdish states of the north of Kurdistan, from the small semi-autonomous emirates of Erzurum to the more powerful states to their south, with control over extensive territories. This expedition should help pacify most of Kurdistan and bring an end to the local revolts, sending governors to the highlands and establishing control over those that do not agree with the policies.;;;;;;;;;;;;;
make_conquer_kurds_title;Conquer The Rest of The Kurdish Principalities;;;;;;;;;;;;;
make_conquer_kurds_desc;With our victory against Hakkari we can now look further north. The principalities of Bitlis, Bayazid and Zirqan have long been largely neutral to our actions in Southern Kurdistan, but our victory in Hakkari has scared most from allying with us, some having even asked for help from the Ottoman Empire. It is clear that to keep our sovereignty intact, we must invade these principalities and secure our border with the Ottoman Empire.;;;;;;;;;;;;;
mosul_come_here_title;Occupy Mosul;;;;;;;;;;;;;
mosul_come_here_desc;The Vilayet of Mosul was promised to us in our treaty with the Ottoman Empire, but a rebelling province had control over the region at the time. We should send them an ultimatum to cede Mosul, or we'll have no choice but to declare war.;;;;;;;;;;;;;
urmia_is_soran_title;Claim Qajar Kurdistan;;;;;;;;;;;;;
urmia_is_soran_desc;Our armies have been strengthened by conquests once more, and it is only natural that we continue our expansion into the rest of Kurdistan under the Qajar Dynasty's control. They have oppressed the Kurds of the region for decades, and the Ardalan deserve to be annexed for helping Baban three hundred years ago annex us. It is time to unleash our military on the mountains of Ardalan and Urmia and place them under our great state.;;;;;;;;;;;;;
soran_je_ottoman_title;The Subjugation of Soran;;;;;;;;;;;;;
soran_je_ottoman_desc;While the Emirate of Soran has been driven back, the Emir still poses a threat to the region's stability. Letting his rule continue despite his rebellious actions may inspire other Kurdish chiefs to do the same.;;;;;;;;;;;;;
fund_french_settlement_in_algeria_title;Funding French Settlers in Algeria;;;;;;;;;;;;;
fund_french_settlement_in_algeria_desc;Although our New World colonies are gone, our settler-colonial ventures are not yet over, still going strong in Algeria. But more often than not, these settlers will need a considerable amount of funding to ensure their livelihood in the new land. Thus, as the mother nation, it is seen as our duty to provide for their needs. The question is how much money we shall offer them, if at all.;;;;;;;;;;;;;
TUZCUOGLUCRUSHED;Lazistan has been pacified and plundered by our army. With the Tuzcuoglu family removed from power, we can tighten our grip on the province and ensure its governors will be unconditionally loyal to us.;;;;;;;;;;;;;
AGRESSION_WAR_NAME_PLS_EGY;The Peasants' revolt in Palestine;;;;;;;;;;;;;
NORMAL_WAR_NAME_PLS_EGY;The Peasants' Revolt in Palestine;;;;;;;;;;;;;
AGRESSION_WAR_NAME_ALA_EGY;The Alawite Revolt;;;;;;;;;;;;;
NORMAL_WAR_NAME_ALA_EGY;The Alawite Revolt;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_TUR_MLW;The Laz Uprising;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_TUR_MLW;The Laz Uprising;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_TUR_PNT;The Pontic Uprising;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_TUR_PNT;The Pontic Uprising;;;;;;;;;;;;;
uruguay_const_1830_title;The Uruguayan Constitution of $YEAR$;;;;;;;;;;;;;
uruguay_const_1830_desc;Inspired by the liberal ideas of the American and French revolutionaries, calls for a constitution firmly establishing Uruguay as a representative democracy are echoing within the government. Under this constitution, Uruguay will be represented by a president and a two-chamber legislative branch consisting of the Chamber of Representatives and the Chamber of Senators. Meanwhile, supreme legal power will be put in the hands of the Supreme Court of Justice. The constitution will also strengthen the federal government's authority--so much so that our country will be considered a unitary republic. Nevertheless, the constitution's passing will be a firm, welcomed step in the direction toward equality and justice.;;;;;;;;;;;;;
anglo_ashanti_treaty_title;The Anglo-Ashanti Treaty;;;;;;;;;;;;;
anglo_ashanti_treaty_desc;Border conflicts with the Ashanti Empire have been a constant occurrence since we first established our colony on the Gold Coast. With it obvious, though, that the Ashanti cannot fully repel our troops and retake that land, perhaps we should send them an ultimatum. We shall force an agreement that our borders will lie on the opposite banks of the Pra River, the natural boundary of the Gold Coast colony. Of course, there's nothing stopping us from eventually breaking this treaty and conquering them entirely.;;;;;;;;;;;;;
romania_semiconst_1831_title;The Regulamentul Organic;;;;;;;;;;;;;
romania_semiconst_1831_desc;While the Romanian principalities of Wallachia and Moladvia are Ottoman vassals, we have retained garrisons in them since the war of 1828-29. The populace is becoming increasingly resentful of this, especially as we have confiscated Wallachia and Moldavia's treasuries for the time being. It is up to us to shape their governments for the better and hand them back control over their finances. The proposed Organic Regulation would form the organic law, or legal system forming the basis of government, of the principalities. It would establish a national assembly in Iasi and Bucharest elected by no more than 3000 of the most influential citizens. Furthermore, the Organic Regulation would, among other things, ensure the independence of the judiciary and establish a poll tax in place of the old indirect taxes.;;;;;;;;;;;;;
peru_const_1834_title;The Peruvian Constitution of $YEAR$;;;;;;;;;;;;;
peru_const_1834_desc;Now that the Bermudists have been defeated, we can finally set about finishing the new constitution. The proposed draft mostly reiterates the 1828 constitution and follows its liberal spirit but makes some adjustments to combat instability which has been experienced since. For example, the post of vice-president would be removed due to the bad contact of former VP Antonio Gutiérrez de la Fuente. Another example is the prohibition of immediate presidential reelection, a tactic used by Augustín Gamarra to elongate his presidency.;;;;;;;;;;;;;
eventtwo_bermudists;The Civil War of 1834;;;;;;;;;;;;;
belgium_const_1831_title;The Belgian Constitution;;;;;;;;;;;;;
belgium_const_1831_desc;Belgium's existence is extraordinary, considering how divided along linguistic and cultural lines our two major ethnic groups are. Nevertheless, it is our duty to consolidate our brand-new nation, uniting the Flemish, the Walloons and the small German minority. We shall create a constitutional monarchy, a compromise between liberals and the conservatives. The state will have three branches of government and afford privileges to the Catholic Church. Basic freedoms such as that of expression, worship, and the press will be guaranteed. However, only landed subjects will be able to vote.;;;;;;;;;;;;;
BELGIUMAKINGENGTROLLYNO;\n\nBelgium has refused to sign the Treaty of the Eighteen Articles, for they lack faith that we will make a fair judgment over the issue of Limburg and Luxembourg. Leopold of Saxe-Coburg-Gotha will not, after all, be king of Belgium.;;;;;;;;;;;;;
flauhaut_plan_title;The Flahaut Plan;;;;;;;;;;;;;
flauhaut_plan_desc;Belgium has no right to exist. Its people speak Dutch, French and German, an amalgamation utterly undeserving of a nation-state of its own. Therefore, it would be best to divide its lands. With us receiving Wallonia and Brussels, Prussia getting Luxembourg and Liège, the UK being given Antwerp and Ghent, and the Netherlands receiving Limburg and Hasselt, the Western European great powers would surely all be on board.;;;;;;;;;;;;;
assam_puppetted_title;Install Purandar Singha;;;;;;;;;;;;;
assam_puppetted_desc;We would love nothing more than to control all of Assam for its rich farmland and the expansion of Britain's markets in India. The locals, however, do not easily consent to foreign rule. There is a way around this: we could restore native autonomy in the region by installing a king as tributary. The king we have in mind is Purandar Singha, a prince of the Ahom Kingdom. Under our plan, he will be installed as a ruler in Upper Assam, guaranteeing our undisputed dominance in the region without directly governing it.;;;;;;;;;;;;
AGRESSION_HUMILIATE_NO_INFAMY_WAR_NAME_BEL_NET;The 10 Days' Campaign;;;;;;;;;;;;;
NORMAL_HUMILIATE_NO_INFAMY_WAR_NAME_BEL_NET;The 10 Days' Campaign;;;;;;;;;;;;;
AGRESSION_HUMILIATE_NO_INFAMY_WAR_NAME_POL_RUS;The November Uprising;;;;;;;;;;;;;
NORMAL_HUMILIATE_NO_INFAMY_WAR_NAME_POL_RUS;The November Uprising;;;;;;;;;;;;;
ten_days_campaign_title;A Campaign against Belgium;;;;;;;;;;;;;
ten_days_campaign_desc;We are creeping further and further toward losing the Southern Provinces due to the increasingly widespread revolution. The revolutionaries have even coronated their first king, making their nationhood already apparent and their independence seemingly inevitable. This nation-building must halt. We will need to commit as many troops as possible to destroying the revolution. This is all-out war.;;;;;;;;;;;;;
samoa_imean_samos_title;Impose Tributary Status on Samos;;;;;;;;;;;;;
samoa_imean_samos_desc;Samos, an archipelago of culturally Greek islands just off the Turkish side of Ionia, did not join Greece after the 1821 revolt, despite having fought against our invasions of the islands. Instead, Samian rebel leader Lykourgos Logothetis declared Samos an independent state that nonetheless would not accept Ottoman suzerainty. Well, words are meaningless if they cannot be backed up on the battlefield.;;;;;;;;;;;;;
the_cauca_war_title;The Cauca War;;;;;;;;;;;;;
the_cauca_war_desc;The newly-independent state of Ecuador under conservative president Gabriel García Moreno has become socially unstable. This combined with unsettled border disputes can provide a pretext for military action in the country, in hopes of gaining valuable territories for reuniting the old borders of Gran Colombia.;;;;;;;;;;;;;
pasto_treaty_title;The Treaty of Pasto;;;;;;;;;;;;;
pasto_treaty_desc;Our invasion of Cauca can now end with the signing of a treaty. We shall negotiate the acknowledgment of a border between Colombia and Ecuador along the Carchi River, with the province of Pasto annexed into our territory. With this being our final agreed-upon borders after the dissolution of Gran Colombia, we will no longer have any hostilities with each other and can begin meaningful diplomatic relations.;;;;;;;;;;;;
spanish_inquisition_title;End the Spanish Inquisition;;;;;;;;;;;;;
spanish_inquisition_desc;§GLose 1 infamy§! The Tribune of the Holy Office of the Inquisition, commonly called the Spanish Inquisition, is the police force responsible for enforcing strict observance of Catholicism in the Spanish Empire. Established at the end of the Reconquista, it oversaw the mass conversion and expulsion of Jews and Muslims from Spain, and since then it has been responsible for enforcing the consolidation of the Spanish crown's rule by ensuring Catholicism unites its disparate subjects. But the Inquisition is not what it used to be. It was temporarily abolished under Joseph Bonaparte's reign and was reinstated by Ferdinand VII in 1814. Liberalism continues to weaken the Inquisition's strength to eradicate Christian heterodoxy. The organization has been reduced to a censorship committee, rarely overseeing prosecutions anymore. Perhaps it is time to disband the Inquisition and bury its legacy in the sand dunes of history.;;;;;;;;;;;;;
seize_peshawar_title;Seize Peshawar;;;;;;;;;;;;;
seize_peshawar_desc;With our loss against the Afghans in the Battle of Nowshera 7 years ago we were pushed back to the left bank of the Indus River and have maintained an uneasy peace since. Among the territories lost after the battle was the city of Peshawar. The city is regarded as the breadbasket of Afghanistan, one of the few fertile regions that are key to the Afghan food supply. It would be easy to conquer due to its relative separation from the rest of Afghanistan: The only way to get from Kabul to Peshawar is via the Khyber Pass which is blocked by snow in winter. Thus, the defenders would easily be overwhelmed before reinforcements could arrive. It is, however, possible that an Afghan force will arrive over the pass after Peshawar is in our hands to recapture it.;;;;;;;;;;;;;
sikh_bahawalpur_title;Claim Dera Ghazi Khan;;;;;;;;;;;;;
sikh_bahawalpur_desc;To our south lies the Kingdom of Bahawalpur, who, similar to us, freed themselves of Afghan rule in 1821, taking control of both the right and left bank of the middle Indus in the process. The territory on the right bank of the Indus is home to the cities of Dera Ghazi Khan and Dera Ismail Khan which are threatened by a possible Afghan invasion from Peshawar. In order to prevent such a scenario, which threatens the rest of Punjab, we must march past the Indus and seize the cities from the weak Nawabs of Bahawalpur.;;;;;;;;;;;;;
sikh_bahawalpur2_title;Conquer Bahawalpur;;;;;;;;;;;;;
sikh_bahawalpur2_desc;With our victory over the Kingdom of Bahawalpur and the seizure of all Bahawalpuri lands west of the Indus we are now in a better position to defend from Afghan incursions in the region. With our rule on the west bank now cemented, the opportunity to secure the east bank of the Indus, along with the rest of the Kingdom of Bahawalpur, presents itself. With both sides under our control, we would be able to easily expand our influence down the Indus into the rich lands of the State of Sindh.;;;;;;;;;;;;;
july_ordinances_title;The July Ordinances;;;;;;;;;;;;;
july_ordinances_desc;§RCauses a Revolution§! Liberalism is a scourge upon the monarchy. It must be put down through a heavy-handed approach to ruling France's subjects, lest we fail to save the French people from their naive ideas of how they wish to be governed. Chief Minister Jules Armand de Polignac, an ultraroyalist who has long been targeted by the liberals, proposes a set of royal ordinances meant to reign France in: they include limitation of press freedom, a newly appointed set of reactionary Councilors of State, the dissolution of the Chamber of Deputies, and the exclusion of the middle class from future elections.;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_FRA_BOR;The War in the Vendée and Chouannerie of 1832;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_FRA_BOR;The War in the Vendée and Chouannerie of 1832;;;;;;;;;;;;;
webley_n_scott_title;Webley & Scott;;;;;;;;;;;;;
webley_n_scott_desc;The Webley company was founded in the late 18th century by William Davies, who made bullet molds. It has now been taken over by his son-in-law, Philip Webley, who has begun producing percussion sporting guns. With this specialization in handgun manufacturing, Webley and Scott has the potential to become a major supplier of firearms to our armed forces.;;;;;;;;;;;;;
malones;Malones;;;;;;;;;;;;
malones_desc;The Malones are raids carried out by Mapuche warriors, who raid frontier settlements on horseback to obtain horses, cattle, provisions, and captives, often young women.;;;;;;;;;;;;
desert_campaign_malones_title;The Desert Campaign;;;;;;;;;;;;;
desert_campaign_malones_desc;Under the military command of our former national leader, Juan Manuel de Rosas, Argentina has finally taken the initiative to expand her borders into the desert in the southern Pampas and northern Patagonia. These lands are the homes of indigenous tribes such as the Mapuche and Ranqueles, whom we experience friction with due to frequent border raids on our territories by them. The campaign has several front lines, spanning from the Atlantic Ocean to the Andes. By its end, we will have subjugated the Indians and expanded our domain to allow immigrants to settle in its heretofore untamed frontiers.;;;;;;;;;;;;;
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME_FRA_LBY;The Capture of Bône;;;;;;;;;;;;;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME_FRA_LBY;The Capture of Bône;;;;;;;;;;;;;
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME_BOR_LBY;The Capture of Bône;;;;;;;;;;;;;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME_BOR_LBY;The Capture of Bône;;;;;;;;;;;;;
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME_FRA_ABA;The Capture of Bougie;;;;;;;;;;;;;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME_FRA_ABA;The Capture of Bougie;;;;;;;;;;;;;
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME_BOR_ABA;The Capture of Bougie;;;;;;;;;;;;;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME_BOR_ABA;The Capture of Bougie;;;;;;;;;;;;;
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME_FRA_ALD;The Capture of Oran;;;;;;;;;;;;;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME_FRA_ALD;The Capture of Oran;;;;;;;;;;;;;
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME_BOR_ALD;The Capture of Oran;;;;;;;;;;;;;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME_BOR_ALD;The Capture of Oran;;;;;;;;;;;;;
AGRESSION_HUMILIATE_NO_INFAMY_WAR_NAME_LBY_FRA;The Capture of Bône;;;;;;;;;;;;;
NORMAL_HUMILIATE_NO_INFAMY_WAR_NAME_LBY_FRA;The Capture of Bône;;;;;;;;;;;;;
AGRESSION_HUMILIATE_NO_INFAMY_WAR_NAME_LBY_BOR;The Capture of Bône;;;;;;;;;;;;;
NORMAL_HUMILIATE_NO_INFAMY_WAR_NAME_LBY_BOR;The Capture of Bône;;;;;;;;;;;;;
AGRESSION_HUMILIATE_NO_INFAMY_WAR_NAME_ABA_FRA;The Capture of Bougie;;;;;;;;;;;;;
NORMAL_HUMILIATE_NO_INFAMY_WAR_NAME_ABA_FRA;The Capture of Bougie;;;;;;;;;;;;;
AGRESSION_HUMILIATE_NO_INFAMY_WAR_NAME_ABA_BOR;The Capture of Bougie;;;;;;;;;;;;;
NORMAL_HUMILIATE_NO_INFAMY_WAR_NAME_ABA_BOR;The Capture of Bougie;;;;;;;;;;;;;
AGRESSION_HUMILIATE_NO_INFAMY_WAR_NAME_ALD_FRA;The Capture of Oran;;;;;;;;;;;;;
NORMAL_HUMILIATE_NO_INFAMY_WAR_NAME_ALD_FRA;The Capture of Oran;;;;;;;;;;;;;
AGRESSION_HUMILIATE_NO_INFAMY_WAR_NAME_ALD_BOR;The Capture of Oran;;;;;;;;;;;;;
NORMAL_HUMILIATE_NO_INFAMY_WAR_NAME_ALD_BOR;The Capture of Oran;;;;;;;;;;;;;
bone_french_war_title;The Capture of Bône;;;;;;;;;;;;;
bone_french_war_desc;We suspect the Ottoman troops in the Algerian city of Bîne are not equipped nor trained well enough to face our army. An ambush on the city's shores could possibly spell victory for us, should we strike swiftly enough and do plenty of reconnaissance beforehand to assist us.;;;;;;;;;;;;;
bougie_french_war_title;The Capture of Bougie;;;;;;;;;;;;;
bougie_french_war_desc;Our success in capturing Bône may well be repeated if we strike at Algeria again. This time, the city of Bougie would be our target. Our battle-hardened troops will surely bring the incompetent Berber troops to their knees in one fell swoop!;;;;;;;;;;;;;
strasbork_railroad_usa_title;The Strasburg Rail Road;;;;;;;;;;;;;
strasbork_railroad_usa_desc;A railway charter is in order to provide commerce to the Pennsylvania Dutch Country, a rural area home to modestly-living German immigrants. The Strasburg Rail Road will offer a short line through the town of Strasburg, run on steam and diesel locomotives. Trade and industry will greatly benefit from the railway's construction.;;;;;;;;;;;;;
ecuador_const_1830_title;The Ecuadorian Constitution;;;;;;;;;;;;;
ecuador_const_1830_desc;The separation of the Districto del Sur from Gran Colombia birthed the new state of Ecuador. As a former province of that once large yet eventually ungovernable country, we lack a national identity--and a constitution. President Juan José Flores has called a assembly to draft our future constitution to proclaim the State of Ecuador. With this said, our intention is to eventually rejoin a future confederated Colombia as one of its constitutent countries. Thus the constitution will contain no clause contradicting Colombia's constitution.;;;;;;;;;;;;;
ecuador_const_1835_title;The Ecuadorian Constitution of 1835;;;;;;;;;;;;;
ecuador_const_1835_desc;Juan José Flores' authoritarian policies have left him unpopular with the public--so much so that rebellions favoring the ascension of Vicente Rocafuerte to the presidency have broken out, leaving Flores' hands tied. He was forced to agree to handing the presidency to Rocafuerte while appointing himself as chief military commander. This power vacuum leaves us in a constitutional crisis. Our instability makes aspirations to rejoin Colombia impossible, and we must solidify our identity as a sovereign nation. Ecuador shall be independent forever.;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_ARC_ARG;The Argentine Civil War;;;;;;;;;;;;;
AGRESSION_WAR_RESTORE_ORDER_NAME_ARC_ARG;The Argentine Civil War;;;;;;;;;;;;;
occupy_falklands_title;Reoccupy the Falklands;;;;;;;;;;;;;
occupy_falklands_desc;We have maintained that we are the rightful owners of the Falkland Islands following the conclusion of the 1771 crisis with Spain. However, the islands have proven to be of little practical value, and we no longer maintain an active presence there. Starting in the mid 1820s, the Argentinian government has begun asserting that they are the rightful owners, even going so far as to establish a small colony there. And we have not intervened because we were unwilling to test the American Monroe doctrine. However, the Argentinian governor has blundered: He has angered the Americans and the U.S.S. Lexington has razed the Argentinian colony. We could easily reassert our sovereignty with a military expedition without angering the Americans.;;;;;;;;;;;;;;
bolivia_annexes_peru_title;Invade Perú;;;;;;;;;;;;;
bolivia_annexes_peru_desc;Perú is in anarchy, wracked by an insurgency against acting president Luis de Obregoso by Felipe Salaverry. In desperation to hold onto power, Obregoso has petitioned our general Andrés de Santa Cruz to invade Perú and quash the rebels. This would lead to an upending of Latin America's balance of power: a union between Bolivia and Perú, creating a regional powerhouse.\n\n§RWarning: You have to merge the brigades that are generated by this decision§W;;;;;;;;;;;;;
