Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTDESC72750;The_Scandinavian_people_of_the_north_are_so_culturally_similar,_it_only_makes_sense_that_they_should_be_organized_into_one_state._A_state,_of_course,_looked_after_by_$COUNTRY$._The_question_arises_where_the_new_capital_of_this_union_should_be,_and_in_in_what_language_the_capital_should_expect_to_receive_reports._As_of_right_now,_the_current_consensus_is_place_administrative_duties_in_the_hands_of_the_Danes_as_they_were_the_original_rulers_of_the_Kalmar_Union_of_old._However,_Copenhagen_is_surrounded_by_the_sea_and_could_therefore_be_vulnerable_to_nearby_naval_powers._Stockholm_would_make_a_fine_capital,_and_the_Swedes_once_had_dominion_over_the_Baltics._Perhaps_their_time_should_come_again,_but_with_$COUNTRY_ADJ$_supervision._The_Norwegians_have_a_history_of_being_subservient,_first_under_the_Danes_then_more_recently_under_the_Swedes._Perhaps_there_is_no_one_better_to_rule_a_puppet_state_than_former_vassal?_;;;;;;;;;;;;;
IBR_valencia_title;Move Capital to Valencia;;;;;;;;;;;;;
IBR_valencia_desc;Although Barcelona is not under our control, we have still be given mandate over Iberia. We should move our capital south to Valencia.;;;;;;;;;;;;;
outside_SCA_RUS_title;A Finnish-led Scandinavia;;;;;;;;;;;;;
outside_SCA_RUS_desc;§RGain 10 infamy§! Although sometimes relations are not the best between $COUNTRY$ and Finland, $CAPITAL$ has decided show their appreciation for their loyalty by giving them governance over a unified Scandinavian state. While still being our vassal of course.;;;;;;;;;;;;;
mexico_reconquest_title;The $COUNTRY_ADJ$ Reconquista;;;;;;;;;;;;;
mexico_reconquest_desc;§RGain 10 infamy§! The time has come for the $COUNTRY_ADJ$ people to reclaim the land stolen from them during the Mexican-American War. The current state of the $COUNTRY_ADJ$ and American nations gives us the opportunity to take back our territories in the American Southwest!.;;;;;;;;;;;;;
mexico_caribbean_title;Protector of the Hispanic Caribbean;;;;;;;;;;;;;
mexico_caribbean_desc;§RGain 10 infamy if you don't own Cuba and Hispaniola, 5 infamy if you do§! As $COUNTRY$ is now a world player, we can extend our influence into the Spanish West Indies.;;;;;;;;;;;;;
mexico_central_america_title;Restore Mexican Rule Over Central America;;;;;;;;;;;;;
mexico_central_america_desc;§RGain 5 infamy if you already conquered Central America, 10 infamy if you haven't§! Several years ago, Central America used to be under the rule of the First Mexican Empire, but now all that remains are small bickering states. The time has come to restore order to Central America.;;;;;;;;;;;;;
mexico_caribbean;Claimed the Caribbean;;;;;;;;;;;;;
mexico_central_america;Claimed Central America;;;;;;;;;;;;;
EVTDESC56278;With_the_defeat_an_inevitability,_the_Confederate_government_has_fled_to_the_island_of_Cuba._Some_are_arguing_the_Union_should_make_pursuit_and_invade_the_island._Others_saying_it_is_necessary_to_take_advantage_of_the_peace_to_end_the_bloodshed_and_rebuild_the_States.;;;;;;;;;;;;;
csa_flee_cub_title;Evacuate to Havana;;;;;;;;;;;;;
csa_flee_cub_desc;The war is lost! The gentlemen of the Southern States must flee to Cuba so that we might live to fight another day. Hopefully the Union will stop their aggression at the sea although we cannot be certain they will not pursue us.;;;;;;;;;;;;;
EVTDESC56277;Now_that_Cuba_is_under_Union_authority_once_more,_we_must_decide_what_to_do_with_the_rebellious_rebel_island._Some_argue_the_island_should_be_handed_over_the_Afro-Cubano_population_and_granted_home_rule._Others_say_military_rule_will_continue_to_be_necessary_to_keep_the_peace.;;;;;;;;;;;;;
csa_join_cub_title;Invite Cuba to the Confederacy;;;;;;;;;;;;;
csa_join_cub_desc;The plantation owners of Cuba are similarly threatened by the North's aggressive attitude towards the institution of slavery. They would must like likely be willing to join our cause.;;;;;;;;;;;;;
USA_restore_CUB_title;Restore Order to Cuba;;;;;;;;;;;;;
USA_restore_CUB_desc;With the island now under Union control once more, the future of Cuba is now in America's hand.;;;;;;;;;;;;;
CAL_tristate_title;Secure the North;;;;;;;;;;;;;
CAL_tristate_desc;§RGain 7 infamy§! With our western border under our control, California must now expand north into the lands of Cascadia. It is the destiny of California to be the protector of the Pacific.;;;;;;;;;;;;;
ITA_AUS_VEN_title;Nullify the Treaty of Venice;;;;;;;;;;;;;
ITA_AUS_VEN_desc;§RGain 4 infamy§! In exchange for a united Italy, Austria forced Italian nationalist to sign the Treaty of Venice which guaranteed Austrian sovereignty over Venice and other Italian lands. Italy agreed not to push any claims against the Austrian, but recent shifts in relations has made Vienna no friend of Rome. Italy can no longer be the lap dog of the Germans and as such the Treaty of Venice must be considered null and void so that Italian unification can truly be completed.;;;;;;;;;;;;;
EVTDESC9318716;The_Italian_ambassador_has_recently_informed_us_of_his_government's_decision_to_nullify_the_Treaty_of_Venice_which_legitimized_Austrian_rule_over_Venice_and_other_Italian_speaking_lands._This_marks_an_end_to_Austro-Italian_friendship._War_is_most_likely_on_the_horizon.;;;;;;;;;;;;;
treaty_of_elass_lorraine_title;Treaty of Elsaß-Lorraine;;;;;;;;;;;;;
treaty_of_elass_lorraine_desc;§GLose 5 infamy§! While $COUNTRY$ is prepared to battle with France over Elsaß-Lothringen until the end of time, constant war is neither necessary nor beneficial. With a recent cooling in relations between France and Germany, the doves in $CAPITAL$ have proposed border negotiations with France and even suggests seceding Metz. A border treaty would not be popular with the Prussian elements of society, but it might be necessary to preserve peace.;;;;;;;;;;;;;
EVTDESC6542984;For_quite_some_time,_there_has_been_a_cooling_of_relations_between_$COUNTRY$_and_$FROMCOUNTRY$,_and_in_a_surprising_turn_of_events,_the_Germans_have_requested_to_negotiate_over_the_hotly_contested_land_of_Alsace-Lorraine._In_return_for_recognizing_German_rule_over_the_provinces_of_Colmar_and_Strasbourg,_they_are_willing_to_return_Metz_back_to_French_control._Some_say_this_treaty_will_finally_bring_peace_to_the_west,_others_say_it_would_be_a_stab_in_the_back_of_the_people_of_France.;;;;;;;;;;;;;
EVTDESC7184127;France_has_refused_to_negotiate_and_will_not_compromise_for_the_sake_of_peace._The_recent_diplomatic_progress_has_been_squandered,_and_war_is_once_again_the_status_quo._Anger_has_swept_across_the_land_as_the_German_people_realize_French_militarism_cannot_be_bargained_with.;;;;;;;;;;;;;
EVTDESC7686768;While_the_notion_of_Germany_choosing_diplomacy_over_Prussian_militarism_was_surprising,_the_willingness_of_France_to_compromise_in_face_of_revanchism_was_even_more_shocking._The_lands_of_Alsace-Lorraine_have_been_partitioned_between_the_two_states_in_a_bid_for_peace._Celebration_has_erupted_across_the_streets_of_Paris_and_$CAPITAL$_to_mark_this_new_period_of_peace.;;;;;;;;;;;;;
EVTDESC2317187;It_would_seem_peace_was_not_meant_to_last_between_the_people_of_Germany_and_France._After_coup_by_radicals_in_the_government,_$FROMCOUNTRY$_has_declared_the_treaty_of_Elsaß-Lorraine_null_and_void._The_border_between_France_and_Germany_is_quickly_being_remilitarized_once_more.;;;;;;;;;;;;;
GER_cancel_elasstreaty_title;Revoke the Treaty of Elsaß-Lorraine;;;;;;;;;;;;;
GER_cancel_elasstreaty_desc;§RGain 5 infamy§! When those cowardly pacifists decided to negotiate with the French over Elsaß-Lothringen, they betrayed the German people by giving up rightful German territory. It is up to $COUNTRY$ to correct to mistakes of the past and reclaim every inch of German land.;;;;;;;;;;;;;
FRA_cancel_elasstreaty_title;Revoke the Treaty of Elsaß-Lorraine;;;;;;;;;;;;;
FRA_cancel_elasstreaty_desc;§RGain 5 infamy§! When those cowardly pacifists decided to negotiate with the Germans over Alsace-Lorraine, they betrayed the French people by acknowledging German claims to rightful French territory. It is up to $COUNTRY$ to correct to mistakes of the past and reclaim every inch of French land.;;;;;;;;;;;;;
outside_form_WSF_title;Form Zapadoslavia;;;;;;;;;;;;;
outside_form_WSF_desc;§RGain 2 infamy§! Due to our influence in the Western Slavic lands, we could create a powerful puppet in Eastern Europe.;;;;;;;;;;;;;
form_WSF_slav_title;Unite Zapadoslavia;;;;;;;;;;;;;
form_WSF_slav_desc;It is time for the Western Slavic nations to unite under one flag! No longer will we be threatened by Russian and German foes!\n\n§RYou or your spherelings must own all Polish cores, Czechoslovakian cores, and both Galician states.§W;;;;;;;;;;;;;
EVTDESC7142973;$COUNTRY_ADJ$_Red_Guards_have_seized_the_city_of_Monaco_and_unleashed_a_terrifying_storm_of_red_terror_upon_the_local_populace._Looting_and_violence_occurred_across_Monaco_with_the_bulk_of_the_communist_rage_being_directed_towards_the_Monte_Carlo_district,_home_of_the_famed_Monte_Carlo_Casino._Once_glamorous_and_magnificent_villas_now_lay_in_ruins_as_$COUNTRY_ADJ$_soldiers_were_seen_exiting_them_with_hands_full_of_pillaged_treasures._Any_suspected_capitalists_or_members_of_the_local_aristocracy_who_had_failed_to_flee_the_city_were_quickly_tried_by_ad-hoc_tribunals_and_ceremoniously_executed._The_destruction_of_Monaco_culminated_in_burning_of_the_Monte_Carlo_Casino,_a_symbol_of_the_lavish_excesses_of_the_bourgeoisie_class._It_is_unlikely_that_the_grandeur_of_Monaco_will_return_anytime_soon.;;;;;;;;;;;;;
EVTDESC71429731;$FROMCOUNTRY_ADJ$_Red_Guards_have_seized_the_city_of_Monaco_and_unleashed_a_terrifying_storm_of_red_terror_upon_the_local_populace._Looting_and_violence_occurred_across_Monaco_with_the_bulk_of_the_communist_rage_being_directed_towards_the_Monte_Carlo_district,_home_of_the_famed_Monte_Carlo_Casino._It_is_unlikely_that_the_grandeur_of_Monaco_will_return_anytime_soon._$FROMCOUNTRY$_has_refused_to_apologize_for_the_actions_of_its_army.;;;;;;;;;;;;;
monaco_sacked_modifer;The Sacking of Monaco;;;;;;;;;;;;;
HUN_ROM_treaty_title;Transylvania Treaty;;;;;;;;;;;;;
HUN_ROM_treaty_desc;The region of Transylvania is intensely disputed between Hungary and Romania. With our influence over both countries, we could attempt to propose a treaty that could help solve, or at least ease, the tensions resulting from the dispute.;;;;;;;;;;;;;
transvana_treaty_force_ROM_title;Enforce Transylvania Treaty;;;;;;;;;;;;;
transvana_treaty_force_ROM_desc;§RGain 2 infamy§! Although initial negotiations over a treaty on Transylvania failed, we are in a position to force Hungary and Romania to abide by our benevolent border proposal on territorial claims in the region. Romania will be given Transylvania as originally proposed.;;;;;;;;;;;;;
transvana_treaty_force_HUN_title;Enforce Transylvania Treaty;;;;;;;;;;;;;
transvana_treaty_force_HUN_desc;§RGain 2 infamy§! Although initial negotiations over a treaty on Transylvania failed, we are in a position to force Hungary and Romania to abide by our benevolent border proposal on territorial claims in the region. Hungary will be given Transylvania as originally proposed.;;;;;;;;;;;;;
transvana_treaty_force_partition_title;Enforce Transylvania Treaty;;;;;;;;;;;;;
transvana_treaty_force_partition_desc;§RGain 2 infamy§! Although initial negotiations over a treaty on Transylvania failed, we are in a position to force Hungary and Romania to abide by our benevolent border proposal on territorial claims in the region. Transylvania will be partitioned as originally proposed.;;;;;;;;;;;;;
EVTDESC71429732;The_region_of_Transylvania_is_intensely_disputed_between_Hungary_and_Romania._With_our_influence_over_both_countries,_we_could_attempt_to_propose_a_treaty_that_could_help_solve,_or_at_least_ease,_the_tensions_resulting_from_the_dispute.;;;;;;;;;;;;;
EVTDESC71429733;We_could_attempt_to_solve_the_Transylvania_troubles_in_several_ways._Hungary_has_been_the_traditional_owner_of_the_land,_and_as_such,_we_could_reassert_Hungarian_claims_to_the_region._However,_Romanians_are_the_majority_population_of_much_of_Transylvania,_and_therefore,_we_could_support_Romanian_self-determination._It_is_unlikely_either_of_these_proposals_would_be_warmly_welcomed_by_the_losing_party._Therefore,_we_could_also_suggest_a_partitioning_of_Transylvania.;;;;;;;;;;;;;
EVTDESC71429734;$FROMCOUNTRY$_is_attempting_to_draft_a_substantive_border_treaty_that_will_resolve_the_territorial_disputes_over_Transylvania._We_are_still_waiting_to_see_in_what_direction_they_will_take_the_treaty_and_who_it_will_favor.;;;;;;;;;;;;;
EVTDESC71429735;$FROMCOUNTRY$_has_declared_its_support_for_Hungarian_claims_in_Transylvania_and_has_pressured_Romania_to_withdraw_its_control_and_claim_on_any_land_in_the_region.;;;;;;;;;;;;;
EVTDESC71429736;$FROMCOUNTRY$_has_declared_its_support_for_Hungarian_claims_in_Transylvania_and_has_pressured_Romania_to_withdraw_its_control_and_claim_on_any_land_in_the_region.;;;;;;;;;;;;;
EVTDESC71429741;In_response_to_our_support_for_Hungarian_claims,_Romania_has_withdrawn_from_the_negotiations_and_is_refusing_to_acknowledge_the_authority_of_any_treaty_on_the_governance_of_Transylvania.;;;;;;;;;;;;;
EVTDESC71429742;In_response_to_the_treaty's_support_for_Hungarian_claims,_Romania_has_withdrawn_from_the_negotiations_and_is_refusing_to_acknowledge_the_authority_of_any_treaty_on_the_governance_of_Transylvania.;;;;;;;;;;;;;
EVTDESC71429743;In_response_to_our_support_for_Hungarian_claims,_Romania_has_agreed_to_support_the_treaty_in_exchange_for_substantial_monetary_compensation.;;;;;;;;;;;;;
EVTDESC71429748;$FROMCOUNTRY$_has_refused_to_provide_Romania_with_monetary_compensation_and_expects_Romania_to_sign_the_treaty_regardless.;;;;;;;;;;;;;
EVTDESC71429747;$FROMCOUNTRY$__has_accepted_our_demand_for_monetary_compensation_as_a_condition_for_our_signing_of_the_treaty.;;;;;;;;;;;;;
EVTDESC71429745;Today_the_Transylvania_Treaty_has_been_signed_by_the_$COUNTRY_ADJ$,_the_Romanian,_and_the_Hungarian_governments._The_treaty_asserts_Hungarian_authority_over_Transylvania_and_dismisses_Romanian_claims_to_the_region.;;;;;;;;;;;;;
EVTDESC71429746;Today_the_Transylvania_Treaty_has_been_signed_by_the_Romanian_and_the_Hungarian_governments._The_treaty_asserts_Hungarian_authority_over_Transylvania_and_dismisses_Romanian_claims_to_the_region.;;;;;;;;;;;;;
EVTDESC71429737;$FROMCOUNTRY$_has_declared_its_support_for_Romanian_claims_in_Transylvania_and_has_pressured_Hungary_to_withdraw_its_control_and_claim_on_any_land_in_the_region.;;;;;;;;;;;;;
EVTDESC71429738;$FROMCOUNTRY$_has_declared_its_support_for_Romanian_claims_in_Transylvania_and_has_pressured_Hungary_to_withdraw_its_control_and_claim_on_any_land_in_the_region.;;;;;;;;;;;;;
EVTDESC714297411;In_response_to_our_support_for_Romanian_claims,_Hungary_has_withdrawn_from_the_negotiations_and_is_refusing_to_acknowledge_the_authority_of_any_treaty_on_the_governance_of_Transylvania.;;;;;;;;;;;;;
EVTDESC714297421;In_response_to_the_treaty's_support_for_Romanian_claims,_Hungary_has_withdrawn_from_the_negotiations_and_is_refusing_to_acknowledge_the_authority_of_any_treaty_on_the_governance_of_Transylvania.;;;;;;;;;;;;;
EVTDESC714297431;In_response_to_our_support_for_Romanian_claims,_Hungary_has_agreed_to_support_the_treaty_in_exchange_for_substantial_monetary_compensation.;;;;;;;;;;;;;
EVTDESC714297481;$FROMCOUNTRY$_has_refused_to_provide_Hungary_with_monetary_compensation_and_expects_Hungary_to_sign_the_treaty_regardless.;;;;;;;;;;;;;
EVTDESC714297471;$FROMCOUNTRY$__has_accepted_our_demand_for_monetary_compensation_as_a_condition_for_our_signing_of_the_treaty.;;;;;;;;;;;;;
EVTDESC714297451;Today_the_Transylvania_Treaty_has_been_signed_by_the_$COUNTRY_ADJ$,_the_Romanian,_and_the_Hungarian_governments._The_treaty_asserts_Romanian_authority_over_Transylvania_and_dismisses_Hungarian_claims_to_the_region.;;;;;;;;;;;;;
EVTDESC714297461;Today_the_Transylvania_Treaty_has_been_signed_by_the_Romanian_and_the_Hungarian_governments._The_treaty_asserts_Romanian_authority_over_Transylvania_and_dismisses_Hungarian_claims_to_the_region.;;;;;;;;;;;;;
EVTDESC71429739;In_an_attempt_to_solve_the_territorial_disputes_in_Transylvania,_$FROMCOUNTRY$_has_proposed_that_the_region_be_partitioned_between_Romania_and_Hungary.;;;;;;;;;;;;;
EVTDESC714297391;Although_Romania_agreed_to_the_partitioning_of_Transylvania,_Hungary_has_soundly_refused_to_accept_the_idea._As_such,_negotiations_over_the_treaty_have_collapsed.;;;;;;;;;;;;;
EVTDESC7142973971;Although_Hungary_agreed_to_the_partitioning_of_Transylvania,_Romania_has_soundly_refused_to_accept_the_idea._As_such,_negotiations_over_the_treaty_have_collapsed.;;;;;;;;;;;;;
EVTDESC714297399;Both_Hungary_and_Romania_have_refused_to_agree_to_the_$COUNTRY_ADJ$_proposal_for_the_partitioning_of_Transylvania._As_such,_negotiations_over_the_treaty_have_collapsed.;;;;;;;;;;;;;
EVTDESC714297393;Both_Hungary_and_Romania_have_refused_to_agree_to_the_$FROMCOUNTRY_ADJ$_proposal_for_the_partitioning_of_Transylvania._As_such,_negotiations_over_the_treaty_have_collapsed.;;;;;;;;;;;;;
EVTDESC714297392;Both_Hungary_and_Romania_have_agreed_to_the_$COUNTRY_ADJ$_proposal_for_the_partitioning_of_Transylvania._The_region_will_be_equally_divided_between_the_two_states_in_the_hope_that_it_will_end_territorial_disputes.;;;;;;;;;;;;;
EVTDESC714297394;Today_the_Transylvania_Treaty_has_been_signed_by_the_$FROMCOUNTRY_ADJ$,_the_Romanian,_and_the_Hungarian_governments._The_treaty_asserts_Hungarian_authority_over_Transylvania_and_dismisses_Romanian_claims_to_the_region.;;;;;;;;;;;;;
EVTDESC714297395;Today_the_Transylvania_Treaty_has_been_signed_by_the_$FROMCOUNTRY_ADJ$,_the_Romanian,_and_the_Hungarian_governments._The_treaty_asserts_Romanian_authority_over_Transylvania_and_dismisses_Hungarian_claims_to_the_region.;;;;;;;;;;;;;
EVTDESC714297396;Both_Hungary_and_Romania_have_agreed_to_the_$FROMCOUNTRY_ADJ$_proposal_for_the_partitioning_of_Transylvania._The_region_will_be_equally_divided_between_the_two_states_in_the_hope_that_it_will_end_territorial_disputes.;;;;;;;;;;;;;
EVTDESC714297397;Both_Hungary_and_Romania_have_agreed_to_the_$FROMCOUNTRY_ADJ$_proposal_for_the_partitioning_of_Transylvania._The_region_will_be_equally_divided_between_the_two_states_in_the_hope_that_it_will_end_territorial_disputes.;;;;;;;;;;;;;
EVTDESC97552451;Although_initial_negotiations_over_a_treaty_on_Transylvania_failed,_the_$FROMCOUNTRY_ADJ$_government_has_successfully_forced_Hungary_to_abide_by_the_treaty._Romania_will_be_given_Transylvania_as_originally_proposed.;;;;;;;;;;;;;
EVTDESC97552461;Although_initial_negotiations_over_a_treaty_on_Transylvania_failed,_the_$FROMCOUNTRY_ADJ$_government_has_successfully_forced_Hungary_to_abide_by_the_treaty._Romania_will_be_given_Transylvania_as_originally_proposed.;;;;;;;;;;;;;
EVTDESC97552471;Although_initial_negotiations_over_a_treaty_on_Transylvania_failed,_the_$FROMCOUNTRY_ADJ$_government_has_successfully_forced_Romania_to_abide_by_the_treaty._Hungary_will_be_given_Transylvania_as_originally_proposed.;;;;;;;;;;;;;
EVTDESC97552481;Although_initial_negotiations_over_a_treaty_on_Transylvania_failed,_the_$FROMCOUNTRY_ADJ$_government_has_successfully_forced_Romania_to_abide_by_the_treaty._Hungary_will_be_given_Transylvania_as_originally_proposed.;;;;;;;;;;;;;
EVTDESC97552491;Although_initial_negotiations_over_a_treaty_on_Transylvania_failed,_the_$FROMCOUNTRY_ADJ$_government_has_successfully_forced_Romania_and_Hungary_abide_by_the_treaty._Transylvania_will_be_partitioned_between_the_two_as_originally_proposed.;;;;;;;;;;;;;
EVTDESC97552410;Although_initial_negotiations_over_a_treaty_on_Transylvania_failed,_the_$FROMCOUNTRY_ADJ$_government_has_successfully_forced_Romania_and_Hungary_abide_by_the_treaty._Transylvania_will_be_partitioned_between_the_two_as_originally_proposed.;;;;;;;;;;;;;
forcefully_remove_turkish_pops_title;Forcefully Expel our Turkish Population;;;;;;;;;;;;;
forcefully_remove_turkish_pops_desc;§RGain 8 infamy§! Now that we are free from Turkish rule, some hardline elements of our population suggest removing the Turkish population by force is necessary. While such an action would justifiably lead to international outrage, perhaps it is necessary for the strength of our country...;;;;;;;;;;;;;
turkish_oppression;Turkish Oppression;;;;;;;;;;;;;
turkish_oppression_desc;We have forcefully removed the Turkish population, and the effects of this will linger for some time.;;;;;;;;;;;;;
core_when_done;Core when done;;;;;;;;;;;;;
any_sea_province;Sea;;;;;;;;;;;;;
any_lake_province;Lake;;;;;;;;;;;;;
any_land_province;Land;;;;;;;;;;;;;
any_land_province;Earth;;;;;;;;;;;;;
EVTNAME666605;$FROMCOUNTRY$ launches invasion of Manchuria;;;;;;;;;;;;;
ally_china_title;Ally China;;;;;;;;;;;;;
ally_china_desc;China pursues a similar foreign policy to us: general distrust of Westerners. While we have managed to avoid being colonized, China has not been so lucky. Their ports and coastal provinces are increasingly becoming internationally governed trustees, if not directly administered by European powers. But if we ally them and help them militarily and societally modernize, they may be able to stand up to Europe--and together we may become the gatekeepers of a prosperous, independent Orient.;;;;;;;;;;;;;
EVTNAME1931001;Japan Offers us an Alliance;;;;;;;;;;;;;
EVTNAME1931002;China Accepts the Alliance Offer!;;;;;;;;;;;;;
EVTNAME1931003;China Rejects the Alliance Offer.;;;;;;;;;;;;;
japanese_government_advisors;Japanese Government Advisors;;;;;;;;;;;;;
japanese_government_advisors_desc;Officials from Japan are working with our government to oversee our own modernization. We hope to use their knowledge to pursue reforms in all aspects, from social to military.;;;;;;;;;;;;;
cede_pacific_islands_to_philippines_title;Cede the Caroline and Mariana Islands to the Philippines;;;;;;;;;;;;;
cede_pacific_islands_to_philippines_desc;Formerly part of the Spanish East Indies, the islands of Guam, Palau, and Saipan were politically associated with the larger colonial region of the Philippines. Now that the Philippines are independent and allied to us, they may find these islands useful for their defense. Should we grant them control of the islands, the Philippines could use them as naval bases, improving both their territorial defenses and their strength as our ally.;;;;;;;;;;;;;
EVTNAME9677231;$FROMCOUNTRY$ Cedes the Caroline and Mariana Islands to Us;;;;;;;;;;;;;
EVTDESC9677231;As_our_faithful_ally,_$FROMCOUNTRY$_has_deemed_it_appropriate_that_we_annex_the_nearby_Caroline_and_Mariana_Islands._These_islands_used_to_be_governed_as_part_of_the_Spanish_East_Indies_and,_thus,_are_politically_tied_to_us_now_that_we_are_both_free_from_Spanish_rule._We_will_incorporate_these_islands_into_our_mainland,_uniting_the_Spanish_East_Indies_under_our_rule.;;;;;;;;;;;;;
EVTNAME377902;The Algerian Famine of $YEAR$;;;;;;;;;;;;;
EVT377902OPTA;We have no means to relieve the suffering.;;;;;;;;;;;;;
EVT377902OPTB;Salvage what we can from the treasury to feed them! §RPay $200,000§W;;;;;;;;;;;;;
peru_brazil_treaty_1;Treaty with Peru;;;;;;;;;;;;;
only_one_tech_for_you_tkg;Military mission in Japan;;;;;;;;;;;;;
military_mission_in_japan;Military mission in Japan;;;;;;;;;;;;;
will_give_grants;Will give grants;;;;;;;;;;;;;
NICOBAR_PURCHASE_TITLE;$FROMCOUNTRY$ Offers to Purchase the Nicobar Islands;;;;;;;;;;;;;
