Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTDESC2011;'It_has_been_twenty_days._Twenty_days_without_work,_without_money,_without_any_chance_to_feed_or_clothe_my_family._Twenty_days..._Twenty_days_is_an_eternity_when_you_have_to_rummage_through_the_garbage_to_find_something_to_eat._I_don't_want_to_beg,_I_don't_want_to_steal,_but_twenty_days_without_work...'\n\nFew_immigrants,_who_left_their_country_to_live_and_work_in_$COUNTRY$,_are_able_to_find_work.;;Es_sind_schon_20_Tage_vergangen._20_Tage_ohne_Arbeit,_ohne_Geld,_ohne_eine_Möglichkeit,_meine_Familie_zu_ernähren_oder_zu_kleiden._20_Tage_..._20_Tage_sind_eine_Ewigkeit,_wenn_man_die_Mülltonnen_nach_Essbarem_durchsuchen_muss._Ich_will_nicht_betteln_oder_stehlen,_aber_20_Tage_ohne_Arbeit_...'\n\nWenige_Einwanderer,_die_ihr_Land_verließen,_um_in_Ihrem_Land_zu_leben_und_zu_arbeiten,_finden_tatsächlich_Arbeit.';;;;;;;;;;;
EVTDESC2021;Romance_is_in_the_air_in_$PROVINCENAME$,_where_a_marriage_between_one_of_$PROVINCENAME$'s_immigrant_sons,_and_a_young_$PROVINCECULTURE$_girl,_is_being_celebrated_by_friends_and_family._Some_decry_the_development_as_the_end_of_$COUNTRY_ADJ$_civilization,_but_the_young_couple_sure_do_look_happy.\n\nImmigration_is_changing_$PROVINCENAME$_in_ways_both_big_and_small.;Il_flotte_un_parfum_de_romantisme_en_$PROVINCENAME$_où,_amis_et_familles_célèbrent_le_mariage_d'un_fils_d'immigrant_avec_une_jeune_fille_du_coin._Certains_dénoncent_ce_mariage_comme_la_fin_de_la_civilisation_$COUNTRY_ADJ$,_mais_le_jeune_couple_semble_aux_anges._L'immigration_modifie_indéniablement_le_visage_de_$PROVINCENAME$.;In_$PROVINCENAME$_liegt_Romantik_in_der_Luft:_Freunde_und_Familie_feiern_die_Hochzeit_zwischen_einem_Einwanderersohn_und_einem_jungen_lokalen_Mädchen._Manche_verunglimpfen_diese_Entwicklung_als_das_Ende_der_$COUNTRY_ADJ$_Zivilisation,_aber_das_junge_Paar_sind_auf_jeden_Fall_sehr_glücklich_aus._Die_Immigration_verändert_$PROVINCENAME$_im_Großen_wie_im_Kleinen.;;En_$PROVINCENAME$,_el_romance_está_en_el_aire._El_matrimonio_entre_el_hijo_de_uno_de_los_inmigrantes_locales_y_una_joven_de_la_zona_es_motivo_de_celebración_para_la_familia_y_sus_amigos._Algunos_califican_el_suceso_como_el_fin_de_la_civilización_$COUNTRY_ADJ$,_pero_la_joven_pareja_parece_feliz._La_inmigración_está_cambiando_$PROVINCENAME$_en_todos_los_aspectos.;;;;;;;;;
EVTDESC2041;The_many_immigrants_who_have_arrived_in_$PROVINCENAME$_have_created_a_demand_for_housing._The_construction_of_new_homes_must_be_speeded_up_when_reports_show_that_many_immigrants_share_housing_with_up_to_ten_or_twenty_people._This_is_a_minor_disaster_as_this_could_create_epidemics,_revolts_and_other_disturbances.;Le_nombre_d'immigrants_qui_sont_arrivés_dans_le_pays_a_créé_une_forte_demande_pour_le_logement._La_construction_de_nouveaux_logements_doit_être_accélérée_car_les_rapports_montrent_que_de_nombreux_immigrants_partagent_un_logement_avec_un_maximum_de_dix_ou_vingt_personnes._Il_s'agit_d'un_désastre_mineur,_car_cela_pourrait_créer_des_épidémies,_des_révoltes_et_d'autres_perturbations.;Die_vielen_ins_Land_strömenden_Einwanderer_haben_einen_Bauboom_ausgelöst._Der_Bau_neuer_Häuser_muss_beschleunigt_werden,_da_Berichten_zufolge_viele_Einwanderer_sich_zu_zehnt_oder_zwanzigst_ein_Haus_teilen._Dies_ist_eine_kleine_Katastrophe,_da_diese_Umstände_zu_Epidemien,_Revolten_und_anderen_Unannehmlichkeiten_führen_könnten.;;Los_muchos_inmigrantes_que_han_llegado_al_país_han_generado_una_demanda_de_alojamiento._La_construcción_de_nuevas_casas_tiene_que_acelerarse._Los_informes_muestran_que_muchos_inmigrantes_comparten_casa_con_grupos_de_entre_diez_y_veinte_personas._Se_trata_de_un_pequeño_desastre_que_puede_generar_epidemias,_revueltas_y_otras_molestias.;;;;;;;;;
EVTDESC2051;The_immigrants_in_$PROVINCENAME$_have_gone_out_in_a_demonstration,_protesting_the_lack_of_equal_citizenship,_and_demanding_equal_recognition_under_the_law_for_all_$COUNTRY_ADJ$_citizens.;Les_immigrants_de_$PROVINCENAME$_ont_manifesté_pour_protester_contre_un_traitement_qu'ils_jugent_inégal_et_exiger_la_reconnaissance_légale_de_tous_les_citoyens_$COUNTRY_ADJ$.;Die_Immigranten_in_$PROVINCENAME$_haben_sich_zu_einer_Demonstration_zusammengefunden_und_protestieren_gegen_ihre_eingeschränkten_Bürgerrechte._Sie_fordern_die_rechtliche_Gleichberechtigung_aller_$COUNTRY_ADJ$_Bürger.;;Los_inmigrantes_de_$PROVINCENAME$_han_marchado_en_una_manifestación_para_protestar_por_la_desigualdad_en_la_ciudadanía_y_para_solicitar_el_reconocimiento_de_igualdad_bajo_la_ley_para_todos_los_habitantes_de_$COUNTRY$.;;;;;;;;;
EVTDESC2071;'I_pledge_allegiance,_to_the_flag_of_$COUNTRY$,_and_to_the_government_for_which_it_stands'\n\nNot_one_eye_dry_in_the_audience_in_the_$PROVINCENAME$_Civic_Hall_today,_as_some_of_our_immigrants_today_took_the_pledge_of_allegiance,_and_confirmed_their_loyalty_to_the_$COUNTRY_ADJ$_state.;Je_prête_allégeance_au_drapeau_de_$COUNTRY$_et_au_gouvernement_qui_le_dirige.\n\nBeaucoup_d'émotion_aujourd'hui_en_$PROVINCENAME$,_alors_que_nos_immigrants_ont_prêté_allégeance_et_confirmé_leur_loyauté_envers_l'État_$COUNTRY_ADJ$.;Ich_schwöre_der_Flagge_und_Regierung_von_$COUNTRY$_die_Treue'.\n\nHeute_blieb_beim_Publikum_in_$PROVINCENAME$_kein_Auge_trocken,_als_einige_unserer_Immigranten_einen_Treueschwur_ablegten_und_ihre_Loyalität_für_den_$COUNTRY_ADJ$_Staat_bekräftigten.;;Juro_lealtad_a_la_bandera_de_$COUNTRY$_y_al_gobierno_al_que_representa\n\nHoy,_nadie_pudo_contener_las_lagrimas_en_$PROVINCENAME$_mientras_algunos_de_nuestros_inmigrantes_prestaban_su_juramento_de_lealtad_y_confirmaban_su_fidelidad_al_estado_de_$COUNTRY$.;;;;;;;;;
EVTDESC2081;Immigrants_arriving_in_$STATENAME$_often_have_small_means_both_in_terms_of_money_and_in_terms_of_opportunity._Many_of_them_have_wound_up_in_$PROVINCENAME$'s_poor_quarters,_and_those_quarters_are_increasingly_taking_on_the_characteristics_of_a_ghetto._It_could_be_a_good_idea_to_do_something_about_these_squalid_living_conditions,_lest_they_worsen.;Les_immigrants_qui_arrivent_en_$COUNTRY$_sont_souvent_démunis._Bon_nombre_d'entre_eux_se_sont_installés_dans_les_quartiers_pauvres_de_$PROVINCENAME$_et_ceux-ci_ressemblent_de_plus_en_plus_à_des_ghettos._Il_serait_bon_d'agir_pour_améliorer_ces_conditions_de_vie_déplorable_avant_que_la_situation_ne_s'aggrave.;Neuankömmlingen_in_$COUNTRY$_fehlt_es_oft_an_Geld_und_Gelegenheiten._Viele_von_ihnen_sind_in_den_Armenvierteln_von_$PROVINCENAME$_gelandet,_die_zunehmend_die_Eigenschaften_von_Ghettos_annehmen._Es_wäre_vielleicht_eine_gute_Idee,_etwas_gegen_diese_verwahrlosten_Lebensbedingungen_zu_unternehmen,_sonst_könnten_sie_schlechter_werden.;;Los_inmigrantes_que_llegan_a_$COUNTRY$_suelen_tener_pocas_posibilidades,_tanto_en_lo_referente_a_lo_monetario,_como_en_igualdad_de_oportunidades._Muchos_se_han_agrupado_en_los_barrios_pobres_de_$PROVINCENAME$,_que_se_están_convirtiendo_poco_a_poco_en_un_gueto._Sería_buena_idea_hacer_algo_para_aliviar_esas_míseras_condiciones_de_vida_antes_de_que_la_situación_empeore.;;;;;;;;;
EVTDESC2091;Newly_arrived_immigrants_in_$PROVINCENAME$_are_finding_it_hard_to_assimilate_into_the_broader_$PROVINCECULTURE$_society,_and_many_among_the_local_population_have_come_to_view_them_as_an_alien_presence._Immigrants_live_in_separate_areas_of_the_city,_go_to_separate_schools_and_shops,_and_generally_have_very_little_contact_with_the_extended_community.;Les_immigrants_nouvellement_arrivés_en_$PROVINCENAME$_ont_bien_du_mal_à_s'intégrer_à_la_population_$COUNTRY_ADJ$,_au_sein_de_laquelle_nombreux_sont_ceux_à_les_considérer_comme_des_étrangers._Les_immigrants_vivent_dans_les_quartiers_bien_distincts_de_la_ville,_fréquentent_des_écoles_et_des_magasins_différents_et_ont,_de_manière_générale,_que_très_peu_de_contact_avec_la_communauté_au_sens_large.;Kürzlich_eingetroffene_Immigranten_in_$PROVINCENAME$_finden_es_schwierig,_sich_der_breiteren_$COUNTRY_ADJ$_Bevölkerung_anzupassen,_und_viele_Mitglieder_der_lokalen_Bevölkerung_nehmen_sie_mittlerweile_aus_ausländische_Präsenz_wahr._Einwanderer_leben_in_gesonderten_Stadtteilen,_gehen_auf_andere_Schulen_und_kaufen_in_anderen_Geschäften_ein._Generell_haben_sie_kaum_Kontakt_zur_allgemeinen_Bevölkerung.;;Los_inmigrantes_recién_llegados_a_$PROVINCENAME$_encuentran_difícil_integrarse_en_la_población_$COUNTRY_ADJ$,_y_muchos_miembros_de_la_población_local_han_empezado_a_considerarlos_intrusos._Los_inmigrantes_viven_en_zonas_separadas_de_la_ciudad,_van_a_escuelas_y_comercios_separados_y,_en_general,_tienen_escaso_contacto_con_la_comunidad_mayoritaria.;;;;;;;;;
EVTDESC2101;Following_an_extended_period_of_civil_unrest_in_$PROVINCENAME$,_local_anti-immigrant_sentiments_have_exploded_into_a_full_scale_riot._Shop_windows_have_been_smashed,_and_several_of_the_recently_arrived_have_been_murdered,_as_immigrants_are_blamed_for_all_manner_of_social_ills,_real_or_perceived;Suite_à_l'agitation_civile_dont_a_été_victime_$PROVINCENAME$,_des_sentiments_xénophobes_se_sont_manifestés_au_cours_d'une_manifestation_d'envergure._Des_portes_de_magasins_ont_été_défoncées_et_plusieurs_immigrants_ont_été_assassinés,_ceux-ci_étant_jugés_comme_responsables_de_tous_les_maux_sociaux,_réels_ou_non.;Nach_längeren_zivilen_Unruhen_in_$PROVINCENAME$_ist_die_lokale_Stimmung_gegen_Einwanderer_nun_in_einem_heftigen_Aufstand_explodiert._Da_man_die_Immigranten_für_alle_tatsächlichen_und_vermeintlichen_sozialen_Missstände_verantwortlich_macht,_wurden_mehrere_der_Neuankömmlinge_ermordet._Außerdem_wurden_Schaufenster_eingeworfen.;;Tras_un_período_de_malestar_civil_en_$PROVINCENAME$,_los_sentimientos_locales_contra_los_inmigrantes_han_estallado_en_una_revuelta_a_gran_escala._Se_han_roto_cristales_de_comercios_y_han_asesinado_a_varios_de_los_recién_llegados,_ya_que_a_los_inmigrantes_se_les_culpa_de_todo_tipo_de_problemas_sociales,_reales_o_imaginarios.;;;;;;;;;
EVTNAME12021;The Girl from $PROVINCENAME$;La fille de $PROVINCENAME$;Das Mädchen aus $PROVINCENAME$;;;;;;;;;;;
EVTDESC12021;'The_coal_laden_tub_must_have_weighed_heavily_on_her_body,_fragile_and_worn_from_many_years_of_arduous_labor_in_the_$PROVINCENAME$_coal_pits,_for_her_feet_could_no_longer_carry_her._There,_in_the_dark,_where_the_shafts_go_countless_fathoms_deep,_she_slipped_and_fell.'\n\nAnother_young_girl_has_lost_her_life_in_a_coal_mining_accident_in_one_of_our_provinces,_and_the_particular_tragedy_of_the_case_has_received_national_attention.;;Die_kohlebeladene_Wanne_muss_schwer_auf_ihrem_Körper_gelastet_haben,_der_nach_Jahren_der_harten_Arbeit_in_den_$PROVINCENAME$_ausgezehrt_und_entkräftet_war,_denn_ihre_Füße_konnten_sie_nicht_länger_tragen._Dort_in_der_Dunkelheit,_wo_die_Schächte_zahllos_und_ohne_Boden_sind,_strauchelte_sie_und_fiel.'\n\nWieder_hat_ein_junges_Mädchen_ihr_Leben_in_einem_Zechenunfall_in_einer_unserer_Provinzen_verloren,_und_diese_Tragödie_hat_die_Aufmerksamkeit_der_Nation_auf_sich_gezogen.;;;;;;;;;;;
EVTDESC12031;The_$PROVINCENAME$_Munitions_Plant_has_experienced_a_severe_shortfall_in_production_over_the_past_three_months,_which_has_gone_unreported_for_fear_of_causing_alarm_among_investors_and_local_industrial_magnates._By_covering_the_factory's_losses_with_materials_from_the_national_stockpile,_we_could_be_perceived_as_saving_local_jobs.;Une_de_nos_usines_de_munitions_qui_a_connu_une_grave_pénurie_de_production_au_cours_des_trois_derniers_mois,_n'a_pas_été_signalé_par_crainte_de_provoquer_des_inquiétudes_parmi_les_investisseurs_locaux_et_autres_magnats_de_l'industrie._En_couvrant_les_pertes_de_l'usine_avec_des_matériaux_provenant_de_la_réserve_nationale,_nous_pourrions_être_perçus_comme_des_sauveurs_des_emplois_locaux._;Eine_unserer_Munitionsfabriken_hat_in_den_letzten_drei_Monaten_ernsthafte_Produktionsdefizit_erlitten,_was_aus_Angst_davor,_Investoren_und_lokale_Industriemagnate_zu_alarmieren,_nicht_berichtet_wurde._Wenn_wir_die_Verluste_der_Fabrik_mit_Materialien_aus_dem_nationalen_Vorrat_ausgleichen,_könnten_wir_als_Retter_lokaler_Arbeitsplätze_dastehen.;;Una_de_nuestras_fábricas_de_municiones_ha_experimentado_una_caída_grave_en_la_producción_a_lo_largo_de_los_últimos_tres_meses,_que_no_ha_sido_notificada_por_miedo_a_causar_alarma_entre_los_inversores_y_los_magnates_de_la_industria_local._Al_cubrir_las_pérdidas_de_la_fábrica_con_materiales_de_la_reserva_nacional,_podemos_dar_la_impresión_de_estar_salvando_puestos_de_trabajo_locales.;;;;;;;;;
EVTDESC12041;'Making_Any_Field_Bloom'-$PROVINCENAME$_Ammonia_makes_for_a_blossoming_$STATENAME$_chemical_industry,_and_a_rosy_addition_to_the_provincial_budget._For_local_noses_living_in_its_shade,_however,_the_balance_certainly_hasn't_been_adding_up._Complaining_of_the_putrid_smell_coming_from_the_growing_number_of_plants,_they_are_demanding_their_'fruits'_be_pruned._Ordinance_to_that_effect,_though,_might_anger_local_captains_of_industry.;;;;;;;;;;;;;
EVTDESC12051;The_central_Tea_Weighing_Station_in_tea_producing_$PROVINCENAME$_has_been_held_up_by_armed_thugs._Some_locals_speculate_that_harsh_times_in_the_province_might_have_provoked_local_farmers,_tired_of_seeing_local_distributors_and_retailers_eating_away_at_their_profits,_to_rob_the_station._Whatever_the_cause_may_be,_we_need_to_address_the_situation.;La_station_de_pesage_centrale_des_producteurs_de_thé_de_$PROVINCENAME$_a_été_visitée_par_des_inconnus_armés._Certains_habitants_pensent_que_les_temps_difficiles_de_la_province_pourraient_avoir_provoqué_les_agriculteurs_locaux,_fatigués_de_voir_les_distributeurs_et_les_détaillants_rongeaient_leurs_bénéfices,_a_dévalisé_la_station._Quelle_que_soit_la_cause_peut_être_devrions-nous_corriger_la_situation._;Die_zentrale_Teewiegestation_in_der_teeproduzierenden_Provinz_$PROVINCENAME$_wurde_von_bewaffneten_Räubern_überfallen._Manche_Menschen_vor_Ort_spekulieren,_dass_harte_Zeiten_in_der_Provinz_vielleicht_lokale_Farmer_zu_diesem_Raub_provoziert_haben,_da_sie_es_satt_hatten,_die_örtlichen_Verteiler_und_Einzelhändler_an_ihren_Profiten_nagen_zu_sehen._Was_immer_der_Grund,_wir_müssen_uns_um_diese_Situation_kümmern.;;La_estación_central_de_pesado_del_té_producido_en_la_provincia_de_$PROVINCENAME$_ha_sido_asaltado_por_ladrones_armados._Algunos_habitantes_locales_especulan_que_los_duros_tiempos_que_corren_en_la_provincia,_pueden_haber_inducido_a_los_granjeros_locales,_hartos_de_que_los_distribuidores_y_vendedores_se_lleven_sus_beneficios,_a_robar_en_la_estación._Sea_cual_sea_la_causa,_hemos_de_atender_la_situación.;;;;;;;;;
EVTDESC12061;While_the_war_rages,_every_can_that_rolls_off_the_production_line_from_'$PROVINCENAME$_Canned_Food_&_Preservatives_Ltd.'_is_as_important_as_a_cannonball_or_a_rifle._The_food_is_reportedly_excellent,_and_very_popular_among_our_soldiers._So_popular,_in_fact,_that_the_General_Staff_has_commissioned_another_massive_order_from_the_factory.;Alors_que_les_combats_font_rage,_tous_ce_qui_sort_de_la_ligne_de_production_de_'$PROVINCENAME$_Aliments_en_conserve_&_Conservateurs_Ltd'_est_aussi_important_qu'un_boulet_de_canon_ou_un_fusil._La_nourriture_est_d'après_les_rapports_excellente,_et_très_populaire_parmi_nos_soldats._Si_populaire,_en_fait,_que_l'état-major_général_a_commandé_un_autre_envoi_massif_de_l'usine._;Während_der_Krieg_tobt,_ist_jede_Dose,_die_bei_'$PROVINCENAME$_Canned_Food_&_Preservatives_Ltd.'_vom_Fließband_rollt,_so_wichtig_wie_eine_Kanonenkugel_oder_ein_Gewehr._Die_Dosennahrung_ist_offensichtlich_ausgezeichnet_und_bei_unseren_Soldaten_sehr_beliebt._So_beliebt,_dass_der_Generalstab_der_Fabrik_einen_weiteren_massiven_Auftrag_erteilt_hat.;;Cuando_la_guerra_se_recrudece,_cada_lata_producida_en_la_cadena_de_producción_de_'Conservas_de_$PROVINCENAME$_S._A.'_es_tan_importante_como_una_bala_de_cañón_o_un_rifle._Nos_informan_de_que_la_comida_es_excelente_y_muy_popular_entre_nuestros_soldados._De_hecho,_es_tan_popular_que_el_Estado_Mayor_ha_solicitado_otro_pedido_enorme_a_la_fábrica.;;;;;;;;;
EVTDESC12071;The_Quartermaster_General_reports_the_discovery_of_a_forgotten_cache_of_canned_foodstuffs_in_an_army_stockpile_in_$PROVINCENAME$._The_content_of_the_cans_is_still,_despite_being_several_years_old,_apparently_quite_edible._What_should_we_do_with_the_15_tonnes_of_canned_food?;L'intendant_général_rapporte_la_découverte_d'une_cache_oubliée_des_denrées_alimentaires_en_conserve,_un_stock_de_l'armée_de_$PROVINCENAME$._Le_contenu_des_boîtes_est_encore,_en_dépit_de_plusieurs_années,_apparemment_tout_à_fait_comestible._Que_faire_avec_les_15_tonnes_d'aliments_en_conserve_?_;Der_Generalquartiermeister_berichtet_die_Entdeckung_einer_vergessenen_Ladung_Dosennahrung_in_einem_Armeevorratslager_in_$PROVINCENAME$._Obwohl_die_Dosen_schon_mehrere_Jahre_alt_sind,_ist_ihr_Inhalt_offensichtlich_immer_noch_essbar._Was_sollen_wir_mit_den_15_Tonnen_Dosennahrung_machen?;;El_General_de_Intendencia_ha_informado_del_descubrimiento_de_un_suministro_de_latas_olvidado_en_una_reserva_del_ejército_en_$PROVINCENAME$._El_contenido_de_las_latas_parece_estar,_a_pesar_de_llevar_años_almacenado,_en_perfectas_condiciones._¿Qué_deberíamos_hacer_con_las_15_toneladas_de_conservas?;;;;;;;;;
EVTDESC12081;A_strange_fever_has_erupted_among_the_cattle_in_$PROVINCENAME$,_and_the_cattle_are_reported_dying_en_masse._The_veterinarian_at_the_local_garrison_has_been_criss-crossing_the_province_trying_to_what_little_can_be_done_to_stave_off_the_effects_of_this,_apparently_quite_contagious,_disease._While_the_disease_itself_will_eventually_dissipate,_the_question_of_reimbursement_for_hundreds_of_ruined_farmers_and_their_families_still_requires_attention.;Une_étrange_fièvre_a_éclaté_parmi_le_bétail_en_$PROVINCENAME$,_et_le_bétail_est_signalé_mourir_en_masse._Le_vétérinaire_de_la_garnison_locale_a_sillonné_la_province_essayant_de_faire_le_peu_qui_peut_être_fait_pour_conjurer_les_effets_de_cette,_apparemment_très_contagieuse,_maladie._Bien_que_la_maladie_elle-même_finira_par_se_dissiper,_la_question_du_remboursement_des_centaines_d'agriculteurs_ruinés_et_de_leurs_familles,_nécessite_une_attention_particulière._;Ein_seltsames_Fieber_ist_unter_den_Rindern_in_$PROVINCENAME$_ausgebrochen,_und_die_Tiere_sterben_in_Massen._Der_Veterinär_in_der_örtlichen_Garnison_fährt_kreuz_und_quer_durch_die_Provinz_und_versucht,_die_Auswirkungen_dieser_offensichtlich_sehr_ansteckenden_Krankheit_abzuwehren._Während_die_Seuche_selbst_sich_bald_verlieren_wird,_so_bleibt_doch_die_Frage_der_Wiedergutmachung_für_Hunderte_von_bankrotten_Bauern_und_ihrer_Familien.;;Una_extraña_fiebre_ha_hecho_enfermar_al_ganado_en_$PROVINCENAME$,_y_las_reses_están_muriendo_en_masa._El_veterinario_de_la_guarnición_local_ha_estado_recorriendo_la_provincia_tratando_de_hacer_algo_por_aliviar_los_efectos_de_esta_enfermedad_que,_al_parecer,_es_muy_contagiosa._Aunque_la_enfermedad_irá_desapareciendo_paulatinamente,_requiere_una_atención_inmediata_el_problema_del_rembolsar_a_los_centenares_de_granjeros_arruinados_y_sus_familias.;;;;;;;;;
