Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
MON_claim_kosovo_desc;§RGain 6 infamy§! Kosovo was the heartland of the Serbian Empire and we Montenegrins are its true inheritors. Kosovo, the root of Serbian history, tradition and national identity is rightfully ours!;;;;;;;;;;;;;
MON_claim_serbian_leadership_title;Assume Leadership of the Serbs by Force;;;;;;;;;;;;;
MON_claim_serbian_leadership_desc;§RNOTE: Serbia may retaliate!§! While usually on very friendly terms, the reign of prince and later king Nikola of Montenegro was marked by his struggles with the Serbian Karadordevic and Obrenovic dynasties over the rulership of all Serbs. It was believed locally that Montenegro was the sole remnant and inheritor of the medieval Serbian Empire, from which its restoration will eventually come from. Historically, a dynastic union was almost achieved when a royal marriage between Montenegro and Serbia, that would put the Petrovic-Njegos dynasty in the line of succession, was agreed upon. This was, however, thwarted when the pro-Russian Karadordevic dynasty was restored in Serbia and Russia chose Serbia as its main horse in the race. We can either attempt to proceed peacefully with the royal marriage and a little... accident, or we can simply march to Belgrade and enforce our leadership.;;;;;;;;;;;;;
MONTYMEN_DESC;Against all odds, we, the Montenegrins, are now the leaders of the Serbians. However, there are still some cultural differences present between our two people and we must take a stance on the future of our culture...;;;;;;;;;;;;;
MON_become_serbia_tsar_title;Restore the Serbian Empire;;;;;;;;;;;;;
MON_become_serbia_tsar_desc;Ever since the Battle of Kosovo, the Serbian Empire has lain dead at the feet of the Turks. However, one indomitable retreat of Serbs has persisted in the former Zetan land. This retreat became known as Crna Gora - Montenegro. The sole true heir to the Serbian Empire. And now, the house of Petrovic-Njegoš can safely proclaim: the Empire of Dušan is restored! Long live Serbia!;;;;;;;;;;;;;
MON_become_serbia_title;Unite Serbia and Montenegro;;;;;;;;;;;;;
MON_become_serbia_desc;Ever since the Battle of Kosovo, the Serbian Empire has lain dead at the feet of the Turks. However, one indomitable retreat of Serbs has persisted in the former Zetan land. This retreat became known as Crna Gora - Montenegro. And now, from Montenegro, we can safely proclaim: Serbia is restored!;;;;;;;;;;;;;
MON_restore_pec_title;Restore the Patriarchate of Pec;;;;;;;;;;;;;
MON_restore_pec_desc;The Patriarchate of Pec Monastery is a medieval Serbian Orthodox monastery located near the city of Peja. Built in the 13th century, it became the residence of Serbian Archbishops. In 1346, when the Serbian Patriarchate of Pec was created, the Monastery became the seat of Serbian Patriarchs. The monastery complex consists of several churches, and during medieval and early modern times it was also used as mausoleum of Serbian archbishops and patriarchs. The monastery church is unique in Serbian medieval architecture, with three churches connected as one whole, with a total of four churches. After 1737, the Phanariotes embarked on policy initiatives that led to the exclusion of Serbs in the succession of the patriarchate, which was eventually abolished in September 1766. At the beginning of the First Balkan War, army of the Kingdom of Montenegro entered into Pec. By the Treaty of London, the region of Pec was officially awarded to Montenegro and the Monastery of Pec again became an episcopal seat.;;;;;;;;;;;;;
MON_irrigate_title;Irrigate Old Montenegro;;;;;;;;;;;;;
MON_irrigate_desc;Now that we control Skadar, we have the means to resolve the irrigation issues in Old Montenegro. Diverting water from the large Drin River to our agricultural lands would ensure access to sufficient water for intensive farming to continue even in years with little rain.;;;;;;;;;;;;;
EVTDESC601;Our_little_brother_in_the_Balkans,_Montenegro,_sometimes_nicknamed_"The_Serbian_Sparta",_has_humbly_requested_that_we_support_their_endeavors_to_develop_their_country_and_defend_against_the_Turks._Even_a_small_sum_of_money_would_be_a_great_boon_for_the_scions_of_Mount_Lovcen._Being_a_small_and_mountainous_country,_Montenegro_has_few_sources_of_income_and_would_surely_be_eternally_grateful_for_our_support.;;;;;;;;;;;;;
MON_nag_for_money_title;Ask Russia for Subsidies;;;;;;;;;;;;;
MON_nag_for_money_desc;Our land is small and poor, making it hard for us to attain prosperity. Luckily, our great protector in the East may be willing to help us out. Let us humbly request Russia's support in our endeavors to develop our country and defend against the Turks. What would only be a small cost to the Russians would be a massive boon to our small country.;;;;;;;;;;;;;
MON_marry_into_europe_title;Marry into Europe;;;;;;;;;;;;;
MON_marry_into_europe_desc;Our lord Nikola has had several children, many of which are now ready for marriages. Let us use this opportunity to marry into European royal families and raise our international standing. Prominent proposals include the marriages of king Victor Emmanuel III of Italy with Princess Elena, Serbian pretender Peter Karadordevic with Princess Zorka, Russian Grand Duke Peter Nicolaievich with Princess Milica as well as Prince Franz Joseph of Hesse and by Rhine with Princess Julia.;;;;;;;;;;;;;
MON_proclaim_kingdom_title;Proclaim the Kingdom of Montenegro;;;;;;;;;;;;;
MON_proclaim_kingdom_desc;With the enlargement of our country, our prince has been making various hints at turning Montenegro into a proper Kingdom. With the backing of loyalists in the government, we can arrange for this to happen. Long live the king!;;;;;;;;;;;;;
MON_adopt_perper_title;Adopt the Perper;;;;;;;;;;;;;
MON_adopt_perper_desc;With recent advancements that our country has made, the government has deemed it prudent to create our own currency instead of relying on foreign ones. The Montenegrin Perper, our new currency named after the Byzantine hyperpyron, would be issued using several precious metals, including gold, silver, bronze and nickel, ensuring its stability.;;;;;;;;;;;;;
MON_russian_subsidies;Receiving Russian subsidies;;;;;;;;;;;;;
MON_russian_subsidies_desc;Russia has agreed to subsidy us, for the time being.;;;;;;;;;;;;;
MON_no_subsidies;No Russian subsidies;;;;;;;;;;;;;
MON_no_subsidies_desc;Russia has refused to subsidy us this time. Perhaps we should try again later?;;;;;;;;;;;;;
MON_marry_serbia_title;Marry into Serbia;;;;;;;;;;;;;
MON_marry_serbia_desc;Ever in the struggle over the leadership of the Serbian people, our lord Nikola and his advisors have presented a curious scheme: the prince Mirko, duke of Grahovo, will marry Natalija Konstantinovic, a granddaughter of Anna Obrenovic, one of the two competing dynasties in Serbia. By extension, a clause in the marriage agreement will stipulate that were the Serbian monarch Alexander to die with no children, the crown of Serbia will pass exactly to prince Mirko. That way, the house of Petrovic-Njegoš would be the sole ruler of the Serbs. While Mirko is not our firstborn, we could convince the crown prince Danilo to refuse the throne later. Let us send an offer to Belgrade!;;;;;;;;;;;;;
MON_TUR_offer_a_deal_title;A Deal with Montenegro;;;;;;;;;;;;;
MON_TUR_offer_a_deal_desc;The tumultuous Montenegrin tribes keep launching raids into our territory, trying to take land for themselves. We shall make them an offer where we give them Iskodra, a part of the Adriatic coast and part of eastern Herzegovina... in exchange for their loyalty. However, Montenegro's allies might not like this!;;;;;;;;;;;;;
MON_TUR_OFFER;\n\nAn emissary from the Sultan has presented us a curious offer: wary of the raids we conduct on Ottoman land and our territorial ambition, the Porte offers to give us control of Skadar, a part of the Adriatic coast and a part of eastern Herzegovina... in exchange for bending a knee to Constantinople. How do we reply?;;;;;;;;;;;;;
HUR_liberal;Federal Canton Party;;;;;;;;;;;;;
HUR_reactionary;Societas Draconistarum;;;;;;;;;;;;;
HUR_conservative;Unionists;;;;;;;;;;;;;
HUR_communist;Party of Carpathian Labor;;;;;;;;;;;;;
HUR_socialist;Carpathian Labor Union;;;;;;;;;;;;;
HUR_radical;Society of Reformers;;;;;;;;;;;;;
HUR_fascist;New Black Army;;;;;;;;;;;;;
PRG_francia;Francia;;;;;;;;;;;;;
maphilindo_group;East Indian;Sud-est asiatique;Südostasiatisch;;Del sudeste asiático;;;;;;;;;
SWE_radical;Revolutionära Partiet;Anti-revoultionära partiet;Anti-revoultionära partiet;;Anti-revoultionära partiet;;;;;;;;;
germanic;German;;;;;;;;;
unite_indonesia_title;Unite Indonesia;;;;;;;;;;;;;
unite_indonesia_desc;We must unite all of the people of the East Indies under a common banner. Down with the imperialists! \n\nTo take this decision, be, befriend, sphere or conquer §Yall cores§! of the nations of: Djambi, Riau-Lingga, Siak, Aceh, Bone, Yogyakarta, Buton and Bali. Cores of Bali held by Portugal are not counted. Uncolonized cores are not counted.\n\n§GAny nation that has its primary culture in the East Indies cultural group may join as well.§!;;;;;;;;;;;;;
BOH_reactionary;Strana konzervativního velkostatku;;;;;;;;;;;;;
BOH_reactionary_NSK;Národní strana katolická;;;;;;;;;;;;;
BOH_reactionary_SKL;Strana katolického lidu;;;;;;;;;;;;;
BOH_reactionary_CSL;Ceská strana lidová;;;;;;;;;;;;;
BOH_conservative;Národní strana;;;;;;;;;;;;;
BOH_conservative_starocesi;Národní strana (staroceši);;;;;;;;;;;;;
BOH_conservative_CSD;Ceská státoprávní demokracie;;;;;;;;;;;;;
BOH_conservative_ND;Národní demokracie;;;;;;;;;;;;;
BOH_liberal;Strana ústavoverného velkostatku;;;;;;;;;;;;;
BOH_liberal_mladocesi;Národní strana (mladoceši);;;;;;;;;;;;;
BOH_liberal_NSS;Národní strana svobodomyslná;;;;;;;;;;;;;
BOH_liberal_CSP;Ceská strana pokroková;;;;;;;;;;;;;
BOH_radical;Národní výbor;;;;;;;;;;;;;
BOH_radical_RPS;Radikálne pokroková strana;;;;;;;;;;;;;
BOH_radical_SPS;Státoprávní pokroková strana;;;;;;;;;;;;;
BOH_socialist;Sociálne demokratická strana ceskoslovanská;;;;;;;;;;;;;
BOH_socialist_CSNS;Ceská strana národne sociální;;;;;;;;;;;;;
BOH_communist;Komunistická strana ceská;;;;;;;;;;;;;
BOH_fascist;Národní obec fašistická;;;;;;;;;;;;;
SLV_fascist;Hlinkova slovenská ludová strana;;;;;;;;;;;;;
SLV_radical;Vzájomnost;;;;;;;;;;;;;
SLV_liberal_early;Spolocnost cesko-slovanská;;;;;;;;;;;;;
SLV_liberal_stur;Štúrovci;;;;;;;;;;;;;
SLV_liberal_novaskola;Nová škola slovenská;;;;;;;;;;;;;
SLV_liberal_vyrovnanie;Strana vyrovnania;;;;;;;;;;;;;
SLV_liberal_hlasisti;Ceskoslovenská jednota;;;;;;;;;;;;;
SLV_liberal_last;Živnostensko-obchodnícka strana;;;;;;;;;;;;;
SLV_conservative;Panslávi;;;;;;;;;;;;;
SLV_conservative_staraskola;Stará škola slovenská;;;;;;;;;;;;;
SLV_conservative_SNS;Slovenská národná strana;;;;;;;;;;;;;
SLV_conservative_agrarian;Agrárna strana;;;;;;;;;;;;;
SLV_reactionary;Velkostatok;;;;;;;;;;;;;
SLV_reactionary_SLS;Slovenská ludová strana;;;;;;;;;;;;;
SLV_socialist;Slovenská sociálnodemokratická strana;;;;;;;;;;;;;
SLV_communist;Komunistická strana Slovenska;;;;;;;;;;;;;
CZH_conservative;RSZML;CSL;CSL;;CSL;;;;;;;;;
CZH_liberal;CsND;RSZML;RSZML;;RSZML;;;;;;;;;
CZH_reactionary;CSL-SLS;CsND;CsND;;CsND;;;;;;;;;
CZH_socialist;CSDSD;CSSD;CSSD;;CSSD;;;;;;;;;
CZH_communist;KSC;CSSD;CSSD;;CSSD;;;;;;;;;
CZH_radical;CŽOSS;;;;;;;;;;;;;
CZH_fascist;NOF;;;;;;;;;;;;;
EVTNAME618;The Czechoslovak National Council;;;;;;;;;;;;;
EVTNAME619;The Provisional Government;;;;;;;;;;;;;
EVTNAME620;End of the Provisional Government;;;;;;;;;;;;;
EVTNAME621;A Delegation from Ruthenia;;;;;;;;;;;;;
EVTDESC623;\n\nNews_has_reached_us_about_a_successful_uprising_in_Pozsony_against_the_efforts_of_the_local_government_to_Slovakize_the_city._The_rebels_now_request_to_be_integrated_into_our_country._How_shall_we_respond?;;;;;;;;;;;;;
EVTDESC624;\n\nNews_has_reached_us_about_a_successful_uprising_in_Pressburg_against_the_efforts_of_the_local_government_to_Slovakize_the_city._The_rebels_now_request_to_be_integrated_into_our_country._How_shall_we_respond?;;;;;;;;;;;;;
EVTDESC625;\n\nDespite_mishandling_the_situation_enough_that_an_uprising_has_taken_control_of_the_city,_the_governments_of_both_Hungary_and_Germany_have_refused_to_annex_Bratislava_and_the_rebels_are_now_without_support._They_are_now_at_the_mercy_of_our_army.;;;;;;;;;;;;;
EVTDESC626;\n\nOur_mishandling_of_the_situation_in_Bratislava_has_resulted_in_an_uprising_that_has_taken_control_of_the_city!_The_locals_have_petitioned_to_rejoin_their_former_masters,_who_have_accepted_-_we_have_lost_Bratislava!;;;;;;;;;;;;;
SLV_bratislava_capital_title;Move Capital to Bratislava;;;;;;;;;;;;;
SLV_bratislava_capital_desc;Pressburg, Pozsony, Prešporok -- the number of names the Beauty on the Danube has reflects its multiethnic character. Our ministers propose to move the Slovak capital there, as its economic potential as a Danubian port would be a great boon to our country, despite the city's defensive shortcomings. However, the Hungarians and Germans of the city will not like Bratislava cementing its status as a Slovak city. §RIf the unrest in Bratislava will not be dealt with following this move, its non-Slovak citizens will rise up!§W;;;;;;;;;;;;;
SLV_bratislava_vavro_trolling_title;Kidnap Bratislava Notables;;;;;;;;;;;;;
SLV_bratislava_vavro_trolling_desc;§GPrevents uprising in Bratislava.§!\n\n"[...] The Bolsheviks stood on the other bank in Petržalka, and in the city itself there were 20,000 organized workers - Bolsheviks and Bolshevik-oriented Hungarian and German social democrats, who were obviously waiting for the arrival of the Hungarians. If they rebelled, the fate of Bratislava would be sealed and the whole government would hang from the lampposts... Now I saw that the Czechoslovak government is at mercy in Bratislava... "You know what?", I said to Brunner, "collect 1,000 people immediately around Bratislava, the leaders of society and leading figures of the city, and send them immediately with escorts to Luhacovice, Terezín and Josefov as hostages. Start immediately, everything must be done by morning." Brunner carried out my order carefully. And when I went for a walk through the city in the morning, there was dead silence everywhere." -Vavro Šrobár;;;;;;;;;;;;
BOH_czech_lands_title;Claim Silesia;;;;;;;;;;;;;
BOH_czech_lands_desc;§RGain 10 infamy§! The Lands of the Bohemian Crown used to include Silesia, until it was unjustly taken from us by the Prussians. If we are to find a place among the nations of today, we must correct this historical injustice.;;;;;;;;;;;;;
CZH_claim_lusatia_title;Claim Lusatia;;;;;;;;;;;;;
CZH_claim_lusatia_desc;§RGain 5 infamy§! Our little brothers, the Lusatian Sorbs, are being cruelly persecuted by the Prussian menace. We must liberate them immediately - lest a Slavic nation will forever be lost in German hell.;;;;;;;;;;;;;
claim_CZH_YUG_corridor_title;A Corridor to connect the South and West Slavs;;;;;;;;;;;;;
claim_CZH_YUG_corridor_desc;§RGain 7 infamy§! A great migratory injustice in medieval times has divided the Slavs into two unconnected parts. To defend against Magyar irredentism, we must make sure to connect with our brothers through Burgenland.;;;;;;;;;;;;;
CZH_SLV_bratislava_capital_title;Move Slovak Administration to Bratislava;;;;;;;;;;;;;
CZH_SLV_bratislava_capital_desc;Pressburg, Pozsony, Prešporok -- the number of names the Beauty on the Danube has reflects its multiethnic character. Our ministers propose to move the Slovak capital there, as its economic potential as a Danubian port would be a great boon to our country, despite the city's defensive shortcomings. However, the Hungarians and Germans of the city will not like Bratislava cementing its status as a Slovak city. §RIf the unrest in Bratislava will not be dealt with following this move, its non-Slovak citizens will rise up!§W;;;;;;;;;;;;;
great_moravia_larp_title;Claim Great Moravian Legacy;;;;;;;;;;;;;
great_moravia_larp_desc;§RGain 5 infamy. This will disallow you to form Czechoslovakia.§! We Slovaks and Moravians are one nation, with our roots in the Great Moravian Empire of old, as proclaimed by the great romanticist historians of our age. We must reject foreign influences on our national outlook, such as with the Germanized Bohemians, and set sights back, to our ancient times of glory. We are the heirs to Great Moravia!;;;;;;;;;;;;;
great_moravia_larp_stop_title;Extend Great Moravian Claims;;;;;;;;;;;;;
great_moravia_larp_stop_desc;§RGain 20 infamy.§! We have retaken the ancient cores of Svätopluk's empire: Moravia and Nitra. But to retain our independence and strength in the faces of German and Magyar aggressors, we must push onward - what was once ours, will be ours again!;;;;;;;;;;;;;
great_moravia_larp_get_help_title;Great Moravia Ascendant;;;;;;;;;;;;;
great_moravia_larp_get_help_desc;§RGain 25 infamy.§! Europe has been shook by the scions of Mojmír - yet the studies of our eminent historians claim yet further extents of our ancient empire, from Lusatia down to the Tisa, from Krems down the Pannonian March to present Croatia. They may call us mad all they want - deal the final blow to cement our hegemony over Central Europe!;;;;;;;;;;;;;
big_belarus_letsgo_title;Claim Greater Belarus;;;;;;;;;;;;;
big_belarus_letsgo_desc;We hold the core of the White Ruthenian nation, yet there are more of us beyond our borders, shackled and oppressed by foreign powers. If our nation is to truly awake, it must be whole!;;;;;;;;;;;;;
cavalry;Lancer;;;;;;;;;;;;;
cavalry_short;Lan;;;;;;;;;;;;;
reclaim_indian_territory_title;Reclaim Indian Territory;;;;;;;;;;;;;
reclaim_indian_territory_desc;The government in Washington has created the Indian Territory to be the land where we may live without the intrusions of colonists. However, greed compelled the pale face to chip away at this territory at any time he deemed it beneficial for himself. Justice compels us to remind him of the original promise he made to us!;;;;;;;;;;;;;
reclaim_indian_northwest_title;Back to the Great Lakes;;;;;;;;;;;;;
reclaim_indian_northwest_desc;It was not so long ago that the tribes south of the Great Lakes confederated to resist American expansion. In the end, our people have lost and were expelled further west. But - the heirs to these warriors now live among us and with our newfound strength they clamor: let us take revenge - let us head home east!;;;;;;;;;;;;;
reclaim_indian_reserve_title;Reclaim the Indian Reserve;;;;;;;;;;;;;
reclaim_indian_reserve_desc;All land west of the Appalachians has been reserved for us in 1763 by the British. However, the pale faces has broken this promise in his everlasting greed and poured west into our lands. No more! He shall be reminded of the wrongs he has done to our peoples.;;;;;;;;;;;;;
reclaim_seminole_land_title;Reclaim Seminole Land;;;;;;;;;;;;;
reclaim_seminole_land_desc;The Seminole, a part of our confederation, have been driven from their lands in Florida. With our rising strength, calls mount to reclaim this land - let us heed them!;;;;;;;;;;;;;
the_final_push_to_the_sea_title;The Final Push to the Sea;;;;;;;;;;;;;
the_final_push_to_the_sea_desc;Four hundred years ago, the pale faces landed at our shores and brought doom. Our ancestral land he took from us by war and trickery, every treaty he broke and every tribe he affected by his mischief. However, the tides of fortune have turned in the recent years and we now stand ready to finish what we started. We shall reach the east coast!;;;;;;;;;;;;;
CHE_birth_more_1_title;The Repopulation Program;;;;;;;;;;;;;
CHE_birth_more_1_desc;If we are to compete with the Europeans, we must do everything in our power to raise our population. We must force tribes to settle down, grow crops and keep animals. We must regulate rivers, clear land and protect settlements. Our youth will attend foreign universities to learn about medicine, agriculture and other useful things. Polygamy will have to be legally expanded to all constituent nations and all families will have to be accounted for. It will take much money, effort and debate in the Tribal Council, but in the end, there is no other option for us if we want to have a future.;;;;;;;;;;;;;
CHE_birth_more_2_title;Begin Urbanization;;;;;;;;;;;;;
CHE_birth_more_2_desc;Now with enough people and food, we can begin the second part of our program. We will start the construction of proper permanent towns across the land to serve as hubs of administration, commerce and learning, from which our nations can spring up stronger than before. At the same time, we shall continue with our previous policies in the countryside.;;;;;;;;;;;;;
CHE_birth_more_3_title;Encourage Population Boom;;;;;;;;;;;;;
CHE_birth_more_3_desc;The towns have been build and the countryside teems with people. Our nations spread across the land, connecting it with newfound wealth it has given them. The rise of quality of life coupled with new advancements in medicine offers us the opportunity to encourage one last population boom.;;;;;;;;;;;;;
winnetou_forbids_you;No Country for Pale Men;;;;;;;;;;;;;
winnetou_forbids_you_desc;Colonizers are no longer welcome to settle in our ancestral lands.;;;;;;;;;;;;;
instability_immig;Apparent Instability;;;;;;;;;;;;;
instability_immig_desc;Constant revolts and mutinies are making our country less attractive for immigration.;;;;;;;;;;;;;
CHE_expel_americans_indian_territory_title;Expel Settlers from the Plains;;;;;;;;;;;;;
CHE_expel_americans_indian_territory_desc;All those who have unlawfully or by trickery seized our lands must leave our Confederacy within 30 days. What they cannot take with them shall be seized.;;;;;;;;;;;;;
CHE_expel_americans_northwest_title;Expel Settlers from the Great Lakes;;;;;;;;;;;;;
CHE_expel_americans_northwest_desc;All those who have unlawfully or by trickery seized our lands must leave our Confederacy within 30 days. What they cannot take with them shall be seized.;;;;;;;;;;;;;
CHE_expel_americans_missouri_arkansas_title;Expel Settlers from Middle Mississippi;;;;;;;;;;;;;
CHE_expel_americans_missouri_arkansas_desc;All those who have unlawfully or by trickery seized our lands must leave our Confederacy within 30 days. What they cannot take with them shall be seized.;;;;;;;;;;;;;
CHE_expel_americans_louie_title;Expel Settlers from Lower Mississippi;;;;;;;;;;;;;
CHE_expel_americans_louie_desc;All those who have unlawfully or by trickery seized our lands must leave our Confederacy within 30 days. What they cannot take with them shall be seized.;;;;;;;;;;;;;
CHE_expel_americans_florida_title;Expel Settlers from Seminole Land;;;;;;;;;;;;;
CHE_expel_americans_florida_desc;All those who have unlawfully or by trickery seized our lands must leave our Confederacy within 30 days. What they cannot take with them shall be seized.;;;;;;;;;;;;;
CHE_expel_americans_reserve_title;Expel Settlers from the Reserve;;;;;;;;;;;;;
CHE_expel_americans_reserve_desc;All those who have unlawfully or by trickery seized our lands must leave our Confederacy within 30 days. What they cannot take with them shall be seized.;;;;;;;;;;;;;
CHE_expel_americans_continent_title;Expel Settlers from the West, North and South;;;;;;;;;;;;;
CHE_expel_americans_continent_desc;All those who have unlawfully or by trickery seized our lands must leave our Confederacy within 30 days. What they cannot take with them shall be seized.;;;;;;;;;;;;;
CHE_return_of_the_cherokee_title;Return of the Cherokee;;;;;;;;;;;;;
CHE_return_of_the_cherokee_desc;With control over the homeland of the Cherokees restored, many have expressed the will to return back.;;;;;;;;;;;;;
CHE_return_of_the_seminole_title;Return of the Seminole;;;;;;;;;;;;;
CHE_return_of_the_seminole_desc;With control over the homeland of the Seminoles restored, many have expressed the will to return back.;;;;;;;;;;;;;
CHE_return_of_the_kickapoo_title;Return of the Kickapoo;;;;;;;;;;;;;
CHE_return_of_the_kickapoo_desc;With control over the homeland of the Kickapoos restored, many have expressed the will to return back.;;;;;;;;;;;;;
CHE_return_of_the_choctaw_title;Return of the Choctaw;;;;;;;;;;;;;
CHE_return_of_the_choctaw_desc;With control over the homeland of the Choctaws restored, many have expressed the will to return back.;;;;;;;;;;;;;
CHE_return_of_the_caddo_title;Return of the Caddo;;;;;;;;;;;;;
CHE_return_of_the_caddo_desc;With control over the homeland of the Caddos restored, many have expressed the will to return back.;;;;;;;;;;;;;
CHE_return_of_the_louie_tribes_title;Return of the Lower Mississippi Tribes;;;;;;;;;;;;;
CHE_return_of_the_louie_tribes_desc;With control over the homeland of the lower Mississippi tribes restored, many have expressed the will to return back.;;;;;;;;;;;;;
CHE_claim_missouri_arkansas_title;Reclaim Middle Mississippi;;;;;;;;;;;;;
CHE_claim_missouri_arkansas_desc;Our peoples have been expelled from the banks of the Mississippi and their descendants now pressure the council to lay claim to these territories. Let us therefore march back east and take what's ours!;;;;;;;;;;;;;
CHE_claim_louisiana_title;Reclaim Lower Mississippi;;;;;;;;;;;;;
CHE_claim_louisiana_desc;There are still brothers of ours that dwell in the land where the Mississippi flows into the sea. We shall head south and liberate them - and no longer be landlocked!;;;;;;;;;;;;;
dakota;Siouan;;;;;;;;;;;;
CHE_liberal;Sequoyah Society;;;;;;;;;;;;;
CHE_conservative;Nighthawk Society;;;;;;;;;;;;;
CHE_socialist;Labor Society;;;;;;;;;;;;;
CHE_reactionary;Thunderbird Society;;;;;;;;;;;;;
CHE_radical;Progressive Society;;;;;;;;;;;;;
CHE_communist;Revolutionary Society;;;;;;;;;;;;;
CHE_fascist;Red Cloud Society;;;;;;;;;;;;;
CHE_a_new_capital_title;Found a Modern Capital;;;;;;;;;;;;;
CHE_a_new_capital_desc;For our confederacy to be able to truly organize, we must settle on a favorable new capital to house our administration in perpetuity and to be in good access to all the lands we administer. Let us call together the great minds of the land and let them deliberate. §BThey will offer a plan within thirty days.§!;;;;;;;;;;;;;
CHE_new_capital;Indian Capital Founded;;;;;;;;;;;;
CHE_allow_settlers_title;Allow Settlers;;;;;;;;;;;;;
CHE_allow_settlers_desc;Due to many previous experiences in the past, settlers were no longer welcome in our lands. However, now that our population has greatly risen and we have established proper administration throughout the country, some voices are beginning to debate allowing settlement. They claim that we would now have the means to control this influx properly and that many of our great leaders have already had European ancestry. A set of laws would have to be passed on various levels of the government, but in the end, it is all up to us. Shall we reopen our land for settlement?;;;;;;;;;;;;;
CHE_birth_more_2_flag;Urbanization has been accomplished.;;;;;;;;;;;;;
indian_conf;Confederated Tribes;;;;;;;;;;;;;
ETH_conservative;Atse-Mekwanint;Faction impériale;Imperialen Fraktion;;;;;;;;;;;
ETH_liberal;Arbegnoch;Faction de réforme;Verbesserung Fraktion;;;;;;;;;;;
ETH_reactionary;Mesafint-Balabat;Faction Ras;Ras Fraktion;;;;;;;;;;;
ETH_radical;Shiftinnet;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
ETH_socialist;Seratenya Mahiberati Konfedereshini;Parti socialiste;Sozialistische Partei;;;;;;;;;;;
ETH_communist;Ye'Ityoppya Serategnoch Parti;Parti communiste;Kommunistische Partei;;;;;;;;;;;
ETH_fascist;Fano;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
amhara_language_schooling_title;Amhara Schooling;;;;;;;;;;;;;
amhara_language_schooling_desc;If we are to truly become a modern nation with the strength to push against the world, we must unify our country culturally. From the sea through the highlands to the Oromo desert, all must learn and speak Amhara - no other language shall be permitted in official use and this policy will be enforced by means learned from the French and Japanese. Ethiopia is Amhara!;;;;;;;;;;;;;
oromo_language_schooling_title;Oromo Schooling;;;;;;;;;;;;;
oromo_language_schooling_desc;If we are to truly become a modern nation with the strength to push against the world, we must unify our country culturally. From the sea through the highlands to the Ogaden desert, all must learn and speak Oromo - no other language shall be permitted in official use and this policy will be enforced by means learned from the French and Japanese. Ethiopia is Oromo!;;;;;;;;;;;;;
CRI_conservative;Milliy Firqa (Oñ);Faction royale;Königsfraktion;;Facción real;;;;;;;;;
